MSMEG_0001	0.1407	0.1642	0.3626	0.3325
MSMEG_0002	0.1723	0.1678	0.3568	0.3031
MSMEG_0003	0.1481	0.1697	0.3645	0.3177
MSMEG_0004	0.147	0.1214	0.3846	0.347
MSMEG_0005	0.2051	0.1672	0.3368	0.2909
MSMEG_0006	0.1938	0.1499	0.3215	0.3349
MSMEG_0007	0.1545	0.143	0.3487	0.3538
MSMEG_0009	0.129	0.2688	0.4086	0.1935
MSMEG_0011	0.161	0.1623	0.3508	0.3258
MSMEG_0012	0.1279	0.1909	0.3469	0.3343
MSMEG_0014	0.1765	0.193	0.3106	0.3199
MSMEG_0015	0.1661	0.1613	0.343	0.3297
MSMEG_0016	0.161	0.191	0.3371	0.3109
MSMEG_0017	0.151	0.1649	0.3299	0.3542
MSMEG_0018	0.1412	0.1582	0.3446	0.3559
MSMEG_0019	0.152	0.1485	0.3305	0.369
MSMEG_0020	0.1983	0.1603	0.3186	0.3228
MSMEG_0021	0.219	0.1557	0.309	0.3163
MSMEG_0022	0.1761	0.1595	0.3099	0.3545
MSMEG_0023	0.1509	0.129	0.3382	0.382
MSMEG_0024	0.1951	0.1439	0.2936	0.3674
MSMEG_0025	0.1789	0.1789	0.3309	0.3113
MSMEG_0026	0.1719	0.2281	0.2772	0.3228
MSMEG_0027	0.1533	0.1253	0.3187	0.4027
MSMEG_0028	0.1752	0.1315	0.3371	0.3562
MSMEG_0029	0.1526	0.1467	0.3393	0.3615
MSMEG_0030	0.1579	0.1365	0.3421	0.3635
MSMEG_0031	0.1653	0.1409	0.3225	0.3713
MSMEG_0032	0.137	0.1984	0.322	0.3425
MSMEG_0033	0.1546	0.1254	0.3307	0.3892
MSMEG_0034	0.1624	0.1795	0.344	0.3141
MSMEG_0035	0.168	0.1201	0.349	0.3629
MSMEG_0036	0.2037	0.1667	0.3056	0.3241
MSMEG_0039	0.12	0.1947	0.3387	0.3467
MSMEG_0040	0.1732	0.1699	0.2484	0.4085
MSMEG_0041	0.1027	0.1782	0.392	0.327
MSMEG_0042	0.1755	0.1401	0.3422	0.3422
MSMEG_0043	0.1514	0.1679	0.3079	0.3728
MSMEG_0044	0.1563	0.1371	0.3473	0.3593
MSMEG_0045	0.1361	0.143	0.3694	0.3516
MSMEG_0046	0.1459	0.1606	0.3333	0.3601
MSMEG_0047	0.1784	0.1346	0.3259	0.3611
MSMEG_0048	0.1925	0.1567	0.3373	0.3135
MSMEG_0049	0.1366	0.1636	0.3302	0.3696
MSMEG_0050	0.1685	0.1648	0.3596	0.3071
MSMEG_0051	0.1565	0.1429	0.3265	0.3741
MSMEG_0052	0.1538	0.1192	0.3385	0.3885
MSMEG_0053	0.1627	0.1325	0.3384	0.3665
MSMEG_0054	0.1869	0.1869	0.2956	0.3306
MSMEG_0055	0.1946	0.1217	0.3612	0.3226
MSMEG_0056	0.1855	0.1289	0.3302	0.3553
MSMEG_0057	0.1684	0.1567	0.331	0.3439
MSMEG_0058	0.1894	0.1629	0.3144	0.3333
MSMEG_0059	0.178	0.1554	0.3409	0.3258
MSMEG_0060	0.1667	0.1576	0.3333	0.3424
MSMEG_0061	0.1808	0.1548	0.3217	0.3428
MSMEG_0062	0.1796	0.1554	0.3227	0.3423
MSMEG_0063	0.1633	0.1497	0.3639	0.3231
MSMEG_0064	0.1636	0.1366	0.3735	0.3264
MSMEG_0065	0.198	0.1452	0.3234	0.3333
MSMEG_0066	0.184	0.1424	0.3368	0.3368
MSMEG_0067	0.1663	0.1453	0.3312	0.3572
MSMEG_0068	0.1396	0.1787	0.3333	0.3483
MSMEG_0069	0.2422	0.1467	0.3348	0.2764
MSMEG_0070	0.1905	0.2143	0.3036	0.2917
MSMEG_0071	0.2054	0.1662	0.3165	0.312
MSMEG_0072	0.2056	0.1336	0.2764	0.3844
MSMEG_0073	0.1687	0.1572	0.3235	0.3506
MSMEG_0074	0.1825	0.1515	0.3042	0.3618
MSMEG_0075	0.1821	0.1681	0.3277	0.3221
MSMEG_0076	0.1875	0.1388	0.3615	0.3122
MSMEG_0077	0.2138	0.1635	0.3396	0.283
MSMEG_0078	0.2257	0.1545	0.3177	0.3021
MSMEG_0079	0.1647	0.1954	0.3213	0.3186
MSMEG_0080	0.1959	0.1827	0.3032	0.3183
MSMEG_0081	0.2282	0.1411	0.2973	0.3333
MSMEG_0082	0.1541	0.1713	0.324	0.3505
MSMEG_0083	0.1637	0.143	0.3178	0.3756
MSMEG_0084	0.1667	0.1628	0.3217	0.3488
MSMEG_0085	0.1359	0.1642	0.3418	0.3581
MSMEG_0086	0.1453	0.1433	0.3354	0.376
MSMEG_0087	0.1576	0.1328	0.3451	0.3646
MSMEG_0088	0.1358	0.1278	0.3621	0.3743
MSMEG_0089	0.1713	0.1467	0.3344	0.3477
MSMEG_0090	0.1215	0.1699	0.3603	0.3482
