,Delay type,Best interval,slope best interval,half-life best interval,mse best interval,Log2 initial abundance,,,half-life best interval,Log2 initial abundance
MSMEG_5007,0,0-2,-2.51278333333333,0.397965071932187,0.0633625096913579,15.2767666666667,,MSMEG_5007,0.397965071932187,15.2767666666667
MSMEG_6404,0,0-2,-2.51135,0.398192207378502,0.131914310432098,16.0820333333333,,MSMEG_6404,0.398192207378502,16.0820333333333
MSMEG_2420,0,0-2,-2.50641666666666,0.398975961698309,0.030978930925926,14.3114333333333,,MSMEG_2420,0.398975961698309,14.3114333333333
MSMEG_4151,0,0-2,-2.50406666666666,0.399350390032215,0.246012805925925,12.3035666666667,,MSMEG_4151,0.399350390032215,12.3035666666667
MSMEG_6129,0,0-2,-2.50108333333333,0.399826741745244,0.020266782037037,15.6114,,MSMEG_6129,0.399826741745244,15.6114
MSMEG_4237,0,0-2,-2.4988,0.400192092204258,0.0392412328395061,16.5859333333333,,MSMEG_4237,0.400192092204258,16.5859333333333
MSMEG_4073,0,0-2,-2.4927,0.401171420548,0.18482298691358,13.1551666666667,,MSMEG_4073,0.401171420548,13.1551666666667
MSMEG_3163,0,0-2,-2.48741666666666,0.402023518375826,0.281891190925925,14.095,,MSMEG_3163,0.402023518375826,14.095
MSMEG_5526,0,0-2,-2.4752,0.404007756948933,0.350934313333333,16.8848666666667,,MSMEG_5526,0.404007756948933,16.8848666666667
MSMEG_3164,0,0-2,-2.47261666666666,0.404429855011898,0.118512066481481,14.1038666666667,,MSMEG_3164,0.404429855011898,14.1038666666667
MSMEG_5811,0,0-2,-2.46375,0.405885337392187,0.380309637839506,10.8700666666667,,MSMEG_5811,0.405885337392187,10.8700666666667
MSMEG_5111,0,0-2,-2.46236666666666,0.406113359775827,0.448049480987653,10.8837333333333,,MSMEG_5111,0.406113359775827,10.8837333333333
MSMEG_2868,0,0-2,-2.45248333333333,0.407749967719795,0.246458158580247,12.8623333333333,,MSMEG_2868,0.407749967719795,12.8623333333333
MSMEG_0119,0,0-2,-2.44631666666666,0.408777822440541,0.0866766642592591,12.8724,,MSMEG_0119,0.408777822440541,12.8724
MSMEG_4740,0,0-2,-2.43803333333333,0.410166664387964,0.10738313728395,12.9609666666667,,MSMEG_4740,0.410166664387964,12.9609666666667
MSMEG_0905,0,0-2,-2.43601666666666,0.410506222590159,0.23801455537037,12.7647,,MSMEG_0905,0.410506222590159,12.7647
MSMEG_5788,0,0-2,-2.43578333333333,0.410545546607184,0.0671884200617282,16.0856,,MSMEG_5788,0.410545546607184,16.0856
MSMEG_6145,0,0-2,-2.43323333333333,0.410975793525762,0.439344905432099,11.7252666666667,,MSMEG_6145,0.410975793525762,11.7252666666667
MSMEG_3451,0,0-2,-2.42745,0.411954932130425,0.0831443452469136,14.0127333333333,,MSMEG_3451,0.411954932130425,14.0127333333333
ORF6,0,0-2,-2.41516666666666,0.414050100062109,0.0395930703703703,12.4844,,ORF6,0.414050100062109,12.4844
MSMEG_5112,0,0-2,-2.41465,0.414138695048972,0.264009313888889,10.5784333333333,,MSMEG_5112,0.414138695048972,10.5784333333333
MSMEG_0829,0,0-2,-2.4113,0.414714054659312,0.195680526666666,13.174,,MSMEG_0829,0.414714054659312,13.174
MSMEG_4910,0,0-2,-2.40468333333333,0.415855171505604,0.0566553267283949,13.6394333333333,,MSMEG_4910,0.415855171505604,13.6394333333333
VBIMycSme59918_3356,0,0-2,-2.40385,0.415999334401065,0.0958853608024689,14.0368666666667,,VBIMycSme59918_3356,0.415999334401065,14.0368666666667
MSMEG_6382,0,0-2,-2.40346666666666,0.416065682902475,0.0499468081481482,15.8765333333333,,MSMEG_6382,0.416065682902475,15.8765333333333
MSMEG_1332,0,0-2,-2.40141666666666,0.416420862685222,0.133339548703703,12.7885,,MSMEG_1332,0.416420862685222,12.7885
MSMEG_6475,0,0-2,-2.39966666666666,0.416724545075706,0.154457742469136,12.2943,,MSMEG_6475,0.416724545075706,12.2943
MSMEG_5224,0,0-2,-2.39943333333333,0.416765069530306,0.0898113437037035,15.2249333333333,,MSMEG_5224,0.416765069530306,15.2249333333333
MSMEG_6223,0,0-2,-2.38845,0.41868157173062,0.0403402805555555,12.1220666666667,,MSMEG_6223,0.41868157173062,12.1220666666667
MSMEG_1339,0,0-2,-2.38718333333333,0.418903728941361,0.0569676422839506,16.3942333333333,,MSMEG_1339,0.418903728941361,16.3942333333333
MSMEG_5648,0,0-2,-2.38361666666666,0.419530545319788,0.151257417839506,11.6992666666667,,MSMEG_5648,0.419530545319788,11.6992666666667
MSMEG_3491,0,0-2,-2.3833,0.419586287920111,0.156000023950617,14.6951,,MSMEG_3491,0.419586287920111,14.6951
MSMEG_0537,1,1-4,-2.37407142857142,0.421217318049164,0.0962503431746032,13.6185666666667,,MSMEG_0537,0.421217318049164,13.6185666666667
MSMEG_6288,0,0-2,-2.36435,0.422949224945545,0.0112198294444444,15.6769,,MSMEG_6288,0.422949224945545,15.6769
MSMEG_6182,0,0-2,-2.36088333333333,0.423570273838183,0.0960849415432098,15.4914,,MSMEG_6182,0.423570273838183,15.4914
MSMEG_4057,0,0-2,-2.35733333333333,0.424208144796381,0.387147937037037,12.6251666666667,,MSMEG_4057,0.424208144796381,12.6251666666667
MSMEG_2142,0,0-2,-2.3468,0.426112152718596,0.266359630617284,12.6565666666667,,MSMEG_2142,0.426112152718596,12.6565666666667
MSMEG_2288,0,0-2,-2.34608333333333,0.426242318758215,0.384360677098765,12.9885333333333,,MSMEG_2288,0.426242318758215,12.9885333333333
MSMEG_2226,0,0-2,-2.3448,0.42647560559536,0.423217869135801,11.8924,,MSMEG_2226,0.42647560559536,11.8924
MSMEG_2553,0,0-2,-2.34445,0.426539273603617,0.0712286333950615,13.5309666666667,,MSMEG_2553,0.426539273603617,13.5309666666667
MSMEG_2368,0,0-2,-2.34101666666666,0.427164835790719,0.243202969691358,13.0059,,MSMEG_2368,0.427164835790719,13.0059
MSMEG_1340,0,0-2,-2.33385,0.428476551620713,0.0320146694444444,17.477,,MSMEG_1340,0.428476551620713,17.477
MSMEG_4142,0,0-2,-2.33191666666666,0.428831790730087,0.0514717052469135,14.8838,,MSMEG_4142,0.428831790730087,14.8838
MSMEG_0750,0,0-2,-2.33163333333333,0.428883901127965,0.0759150943209876,14.9459333333333,,MSMEG_0750,0.428883901127965,14.9459333333333
MSMEG_0916,0,0-2,-2.32783333333333,0.429584019474476,0.125790442469135,15.1952,,MSMEG_0916,0.429584019474476,15.1952
MSMEG_0538,0,0-2,-2.32193333333333,0.430675586436591,0.0391450172839506,14.1023666666667,,MSMEG_0538,0.430675586436591,14.1023666666667
MSMEG_1010,0,0-2,-2.32003333333333,0.431028289823423,0.14986365037037,13.5677666666667,,MSMEG_1010,0.431028289823423,13.5677666666667
MSMEG_3128,0,0-2,-2.31908333333333,0.431204858241403,0.250482916358024,11.6159666666667,,MSMEG_3128,0.431204858241403,11.6159666666667
MSMEG_2400,0,0-2,-2.31731666666666,0.431533598486757,0.0220135309259259,16.7572666666667,,MSMEG_2400,0.431533598486757,16.7572666666667
MSMEG_2088,1,1-4,-2.31725476190476,0.431545126776656,0.217221163730158,12.0292,,MSMEG_2088,0.431545126776656,12.0292
MSMEG_5101,0,0-2,-2.3075,0.433369447453955,0.158555166666666,13.3029666666667,,MSMEG_5101,0.433369447453955,13.3029666666667
MSMEG_6945,0,0-2,-2.30221666666666,0.434363982538569,0.0320310119135802,16.6042,,MSMEG_6945,0.434363982538569,16.6042
MSMEG_1565,0,0-2,-2.30158333333333,0.434483507730186,0.135592428209876,12.3536666666667,,MSMEG_1565,0.434483507730186,12.3536666666667
MSMEG_0753,0,0-2,-2.30023333333333,0.43473850478937,0.246609569135802,13.6478333333333,,MSMEG_0753,0.43473850478937,13.6478333333333
MSMEG_2989,0,0-2,-2.29286666666666,0.436135260081995,0.0406823595061728,11.6276,,MSMEG_2989,0.436135260081995,11.6276
MSMEG_4194,0,0-2,-2.28733333333333,0.43719032352084,0.0752172814814814,14.3652666666667,,MSMEG_4194,0.43719032352084,14.3652666666667
MSMEG_0460,0,0-2,-2.28646666666666,0.437356036971165,0.333637395061727,12.6845666666667,,MSMEG_0460,0.437356036971165,12.6845666666667
MSMEG_4736,1,1-4,-2.28588095238095,0.437468101284282,0.151146424126984,11.4716,,MSMEG_4736,0.437468101284282,11.4716
MSMEG_0909,0,0-2,-2.2829,0.438039335932367,0.0538166688888887,14.4208,,MSMEG_0909,0.438039335932367,14.4208
MSMEG_2764,0,0-2,-2.27961666666666,0.438670244266216,0.0661774042592592,13.934,,MSMEG_2764,0.438670244266216,13.934
MSMEG_1397,0,0-2,-2.27918333333333,0.438753647139693,0.183504620061728,14.7999333333333,,MSMEG_1397,0.438753647139693,14.7999333333333
MSMEG_5797,0,0-2,-2.2785,0.43888523151196,0.0617616195061727,15.4251333333333,,MSMEG_5797,0.43888523151196,15.4251333333333
MSMEG_6540,0,0-2,-2.27711666666666,0.439151851391015,0.0810577709259258,16.4217666666667,,MSMEG_6540,0.439151851391015,16.4217666666667
MSMEG_2670,0,0-2,-2.27388333333333,0.439776300455169,0.0222394000617283,15.0964666666667,,MSMEG_2670,0.439776300455169,15.0964666666667
MSMEG_2544,0,0-2,-2.27256666666666,0.440031095530752,0.190119808395061,13.5497333333333,,MSMEG_2544,0.440031095530752,13.5497333333333
MSMEG_6590,0,0-2,-2.27033333333333,0.44046395536632,0.125997461481481,13.3966333333333,,MSMEG_6590,0.44046395536632,13.3966333333333
MSMEG_0891,0,0-2,-2.26516666666666,0.441468618939005,0.0928082787654319,11.7524666666667,,MSMEG_0891,0.441468618939005,11.7524666666667
MSMEG_0054,0,0-2,-2.25918333333333,0.442637826353181,0.0584451511728396,12.4494333333333,,MSMEG_0054,0.442637826353181,12.4494333333333
MSMEG_0105,0,0-2,-2.25518333333333,0.44342292939968,0.278884490432098,10.2734333333333,,MSMEG_0105,0.44342292939968,10.2734333333333
MSMEG_5969,0,0-2,-2.25435,0.44358684321423,0.0812249272222222,14.7283666666667,,MSMEG_5969,0.44358684321423,14.7283666666667
MSMEG_5479,0,0-2,-2.25363333333333,0.443727906048012,0.253955301728394,14.4063,,MSMEG_5479,0.443727906048012,14.4063
MSMEG_2144,0,0-2,-2.25175,0.444099034084601,0.23205881191358,13.1176,,MSMEG_2144,0.444099034084601,13.1176
MSMEG_0180,0,0-2,-2.24655,0.445126972468897,0.442321790432098,11.5830666666667,,MSMEG_0180,0.445126972468897,11.5830666666667
MSMEG_1786,0,0-2,-2.24391666666666,0.445649348237829,0.343654799814814,11.1773,,MSMEG_1786,0.445649348237829,11.1773
MSMEG_2290,0,0-2,-2.24128333333333,0.446172951508437,0.105989799320987,13.5492666666667,,MSMEG_2290,0.446172951508437,13.5492666666667
MSMEG_5755,0,0-2,-2.24101666666666,0.446226043239305,0.395841673395061,13.4046666666667,,MSMEG_5755,0.446226043239305,13.4046666666667
MSMEG_6654,0,0-2,-2.23896666666666,0.446634608227011,0.0743874795061727,10.9139,,MSMEG_6654,0.446634608227011,10.9139
MSMEG_4238,0,0-2,-2.2381,0.446807559983915,0.343985797283951,12.9830333333333,,MSMEG_4238,0.446807559983915,12.9830333333333
MSMEG_2272,0,0-2,-2.2345,0.447527411053927,0.0473181343209877,14.9247,,MSMEG_2272,0.447527411053927,14.9247
MSMEG_4140,0,0-2,-2.23136666666666,0.448155838723653,0.34684735728395,11.8877666666667,,MSMEG_4140,0.448155838723653,11.8877666666667
MSMEG_5450,0,0-2,-2.2273,0.448974094194765,0.284377419506173,12.2622333333333,,MSMEG_5450,0.448974094194765,12.2622333333333
MSMEG_5127,0,0-2,-2.22608333333333,0.4492194811515,0.143862832654321,14.3667333333333,,MSMEG_5127,0.4492194811515,14.3667333333333
MSMEG_2770,0,0-2,-2.22553333333333,0.449330497558638,0.0507856054320988,15.0368333333333,,MSMEG_2770,0.449330497558638,15.0368333333333
ORF8,1,1-4,-2.22006904761904,0.450436440737044,0.0997422735714285,13.4229666666667,,ORF8,0.450436440737044,13.4229666666667
MSMEG_0951,0,0-2,-2.2195,0.450551926109484,0.164515255802469,12.8850333333333,,MSMEG_0951,0.450551926109484,12.8850333333333
MSMEG_6131,0,0-2,-2.21821666666666,0.450812589692923,0.238846997592592,14.1039,,MSMEG_6131,0.450812589692923,14.1039
MSMEG_3619,0,0-2,-2.21658333333333,0.451144779878944,0.0817185042592594,14.7194333333333,,MSMEG_3619,0.451144779878944,14.7194333333333
MSMEG_0192,0,0-2,-2.21636666666666,0.451188882705931,0.335323969135802,11.0495333333333,,MSMEG_0192,0.451188882705931,11.0495333333333
MSMEG_5768,0,0-2,-2.21498333333333,0.451470665693497,0.479760978580247,12.345,,MSMEG_5768,0.451470665693497,12.345
MSMEG_5175,0,0-2,-2.21431666666666,0.451606590445511,0.0854128822839505,13.6926666666667,,MSMEG_5175,0.451606590445511,13.6926666666667
MSMEG_5947,0,0-2,-2.21055,0.452376105494108,0.189069688950617,10.9381,,MSMEG_5947,0.452376105494108,10.9381
MSMEG_5427,0,0-2,-2.20975,0.452539880076932,0.0758404252469135,16.6384333333333,,MSMEG_5427,0.452539880076932,16.6384333333333
ORF27,0,0-2,-2.20543333333333,0.453425630639482,0.442104761481481,13.3411666666667,,ORF27,0.453425630639482,13.3411666666667
MSMEG_4006,0,0-2,-2.20413333333333,0.45369306152078,0.148346680246913,12.2186333333333,,MSMEG_4006,0.45369306152078,12.2186333333333
MSMEG_5554,0,0-2,-2.20356666666666,0.453809732706069,0.34230661654321,12.9197666666667,,MSMEG_5554,0.453809732706069,12.9197666666667
MSMEG_3736,0,0-2,-2.20325,0.453874957449223,0.372622262777777,12.8107,,MSMEG_3736,0.453874957449223,12.8107
MSMEG_2143,0,0-2,-2.20181666666666,0.454170419880555,0.0437306770987656,13.0657,,MSMEG_2143,0.454170419880555,13.0657
MSMEG_5006,0,0-2,-2.2017,0.454194486078939,0.18924203654321,12.0058333333333,,MSMEG_5006,0.454194486078939,12.0058333333333
MSMEG_2397,0,0-2,-2.20166666666666,0.454201362604089,0.11947456765432,12.8487,,MSMEG_2397,0.454201362604089,12.8487
MSMEG_5024,0,0-2,-2.20055,0.454431846583809,0.151855764506172,11.5922,,MSMEG_5024,0.454431846583809,11.5922
MSMEG_0776,0,0-2,-2.20025,0.454493807521873,0.202592159320987,12.9817,,MSMEG_0776,0.454493807521873,12.9817
MSMEG_3807,0,0-2,-2.19843333333333,0.454869376677332,0.22304361037037,12.5311333333333,,MSMEG_3807,0.454869376677332,12.5311333333333
MSMEG_1322,0,0-2,-2.19726666666666,0.455110895354836,0.0927971920987651,14.6666333333333,,MSMEG_1322,0.455110895354836,14.6666333333333
MSMEG_5281,0,0-2,-2.19491666666666,0.455598162420746,0.419095260802468,11.501,,MSMEG_5281,0.455598162420746,11.501
MSMEG_1995,0,0-2,-2.19373333333333,0.455843919042121,0.292638379506172,13.4791666666667,,MSMEG_1995,0.455843919042121,13.4791666666667
MSMEG_4298,0,0-2,-2.19123333333333,0.456363995923149,0.04729744691358,15.1564666666667,,MSMEG_4298,0.456363995923149,15.1564666666667
MSMEG_0906,0,0-2,-2.18746666666666,0.457149823235403,0.0280748069135802,14.9627666666667,,MSMEG_0906,0.457149823235403,14.9627666666667
MSMEG_3344,0,0-2,-2.18596666666666,0.457463517284498,0.0907012876543211,13.9235,,MSMEG_3344,0.457463517284498,13.9235
MSMEG_3857,0,0-2,-2.18408333333333,0.457857987714145,0.195346779320987,12.1389,,MSMEG_3857,0.457857987714145,12.1389
MSMEG_0541,0,0-2,-2.18185,0.45832664940303,0.117927888950617,13.2175,,MSMEG_0541,0.45832664940303,13.2175
MSMEG_6901,0,0-2,-2.18028333333333,0.458655985078393,0.218318439814814,14.7408333333333,,MSMEG_6901,0.458655985078393,14.7408333333333
MSMEG_5005,0,0-2,-2.17945,0.458831356534906,0.0131932516666666,15.0624333333333,,MSMEG_5005,0.458831356534906,15.0624333333333
MSMEG_6656,0,0-2,-2.17868333333333,0.458992816762418,0.0867450531481481,13.2156666666667,,MSMEG_6656,0.458992816762418,13.2156666666667
MSMEG_4186,0,0-2,-2.17845,0.459041979389015,0.101436709444444,14.1252666666667,,MSMEG_4186,0.459041979389015,14.1252666666667
MSMEG_5252,0,0-2,-2.1784,0.459052515607786,0.215041360987654,14.1970333333333,,MSMEG_5252,0.459052515607786,14.1970333333333
MSMEG_6515,0,0-2,-2.17668333333333,0.459414552721649,0.146669199320987,15.3910666666667,,MSMEG_6515,0.459414552721649,15.3910666666667
MSMEG_6596,0,0-2,-2.17263333333333,0.460270946163642,0.0694486125925926,15.3447,,MSMEG_6596,0.460270946163642,15.3447
MSMEG_1653,0,0-2,-2.17161666666666,0.460486427162561,0.434235913395061,13.0301333333333,,MSMEG_1653,0.460486427162561,13.0301333333333
MSMEG_1063,0,0-2,-2.16923333333333,0.460992362893189,0.110517838765432,11.9604666666667,,MSMEG_1063,0.460992362893189,11.9604666666667
MSMEG_4024,0,0-2,-2.16468333333333,0.461961333836359,0.152288044259259,13.5725,,MSMEG_4024,0.461961333836359,13.5725
MSMEG_0172,0,0-2,-2.16035,0.462887957969773,0.0992153030246913,15.2923666666667,,MSMEG_0172,0.462887957969773,15.2923666666667
MSMEG_3421,0,0-2,-2.1593,0.463113045894503,0.387862621728395,11.4558666666667,,MSMEG_3421,0.463113045894503,11.4558666666667
MSMEG_3482,0,0-2,-2.15905,0.463166670526389,0.436440891666666,12.6642,,MSMEG_3482,0.463166670526389,12.6642
MSMEG_5375,0,0-2,-2.15648333333333,0.463717935836896,0.108527574135802,12.3457,,MSMEG_5375,0.463717935836896,12.3457
MSMEG_6821,0,0-2,-2.15468333333333,0.464105320967506,0.143439023024691,15.7566,,MSMEG_6821,0.464105320967506,15.7566
MSMEG_6518,0,0-2,-2.15463333333333,0.464116090904872,0.0623565306172839,16.4311,,MSMEG_6518,0.464116090904872,16.4311
MSMEG_5829,0,0-2,-2.15333333333333,0.464396284829722,0.121754908395061,13.3125333333333,,MSMEG_5829,0.464396284829722,13.3125333333333
MSMEG_5340,0,0-2,-2.15018333333333,0.465076621373372,0.156059686481481,12.9821,,MSMEG_5340,0.465076621373372,12.9821
ORF31,0,0-2,-2.14996666666666,0.465123490286673,0.0298796520987652,12.9356,,ORF31,0.465123490286673,12.9356
MSMEG_2350,0,0-2,-2.14966666666666,0.465188401302529,0.165171072839506,13.7660666666667,,MSMEG_2350,0.465188401302529,13.7660666666667
MSMEG_4180,0,0-2,-2.1484,0.465462669893874,0.0750651817283949,14.9521,,MSMEG_4180,0.465462669893874,14.9521
MSMEG_6043,0,0-2,-2.14838333333333,0.465466280846839,0.0607932264814815,13.4651666666667,,MSMEG_6043,0.465466280846839,13.4651666666667
MSMEG_1738,0,0-2,-2.14818333333333,0.465509616652831,0.117429879814814,16.2145666666667,,MSMEG_1738,0.465509616652831,16.2145666666667
MSMEG_0385,0,0-2,-2.14728333333333,0.465704727679161,0.056640795617284,13.4911,,MSMEG_0385,0.465704727679161,13.4911
MSMEG_0491,0,0-2,-2.14655,0.465863828003075,0.076170960802469,14.3633333333333,,MSMEG_0491,0.465863828003075,14.3633333333333
MSMEG_0962,0,0-2,-2.14608333333333,0.465965130276085,0.0331385709259259,12.5906,,MSMEG_0962,0.465965130276085,12.5906
MSMEG_2694,0,0-2,-2.14248333333333,0.466748088277622,0.150329639814814,13.1031333333333,,MSMEG_2694,0.466748088277622,13.1031333333333
MSMEG_0386,0,0-2,-2.14075,0.467126007240453,0.0516474911728394,14.9564,,MSMEG_0386,0.467126007240453,14.9564
