,No zero values in 0-15 minute timepoints,half-life for 0-15 minutes,Fold change half-life hypoxia/con no atc,hyp_1_5_slope,hyp_1_5_r2,hyp_1_5_mse,log2 hypoxia half-life,log2 con no atc half-life,con no atc half-life
MSMEG_4287,pass,16.97,7.04,-0.0589321321321321,0.52892293951765,0.0824020624504504,4.08,1.26980206733439,2.41128481292449
MSMEG_6245,pass,10.55,7.04,-0.0948066066066066,0.529920622135844,0.212408456792792,3.40,0.583088215189807,1.49805253170878
MSMEG_1919,pass,10.19,7.05,-0.0981313813813814,0.632296783239056,0.149185461498498,3.35,0.532233616045392,1.44616645375883
MSMEG_1571,pass,8.24,7.07,-0.121316066066066,0.503150444872702,0.387166616057057,3.04,0.220896000824652,1.16545718110317
MSMEG_6455,pass,12.28,7.17,-0.0814641141141141,0.583470103520164,0.126210204093093,3.62,0.774971916745948,1.71115674195756
MSMEG_5721,pass,19.98,7.21,-0.0500599099099099,0.297620546302129,0.157551752117117,4.32,1.46979083890062,2.76981734058196
MSMEG_1597,pass,13.38,7.31,-0.0747481981981982,0.618503727378509,0.0918086614024024,3.74,0.87175059768004,1.82988197261277
MSMEG_0996,pass,11.44,7.32,-0.0874196696696696,0.431524321136505,0.268200234759759,3.52,0.644403744913297,1.56309313802112
MSMEG_6342,pass,13.28,7.33,-0.0753195195195195,0.40176145076591,0.225037779183183,3.73,0.856207313352273,1.81027304089665
MSMEG_1312,pass,24.34,7.34,-0.0410809309309309,0.0838213441769579,0.491405850135135,4.61,1.72915500213624,3.31533579615422
MSMEG_4472,pass,13.29,7.36,-0.0752445945945946,0.314078700640368,0.329397756621621,3.73,0.853084151912725,1.80635838150289
VBIMycSme59918_3469,pass,12.65,7.37,-0.0790456456456456,0.423507609175379,0.226580475783784,3.66,0.779158278432571,1.71612932750612
MSMEG_6600,pass,17.01,7.39,-0.0587869369369368,0.164298656557582,0.468287939276276,4.09,1.2035683689343,2.30308613542146
MSMEG_0372,pass,23.39,7.42,-0.0427584084084083,0.382555418144291,0.0786105635165166,4.55,1.65714188052495,3.15391084945333
MSMEG_6559,pass,13.65,7.49,-0.0732707207207207,0.576994612353143,0.104850206051051,3.77,0.865603800417012,1.82210209845425
MSMEG_6488,pass,11.94,7.51,-0.0837417417417417,0.381323475541001,0.303101645405405,3.58,0.669632824708147,1.59066808059385
MSMEG_3858,pass,9.61,7.52,-0.104008108108108,0.694509227374007,0.126761885537537,3.27,0.353868071498242,1.27798249163987
MSMEG_4126,pass,13.80,7.60,-0.0724882882882883,0.464112915518852,0.161629096612612,3.79,0.860617824598135,1.81581575522804
MSMEG_0965,pass,28.43,7.61,-0.0351771771771771,0.162075195174746,0.170429467279279,4.83,1.90102746376264,3.73479087606827
MSMEG_2289,pass,10.63,7.65,-0.094054054054054,0.443495833047018,0.295711447495495,3.41,0.475401348768107,1.39030494021689
MSMEG_6876,pass,14.43,7.67,-0.0692779279279279,0.290771328018495,0.311859303288288,3.85,0.912116939046891,1.88180474035575
MSMEG_5653,pass,21.36,7.68,-0.0468055555555555,0.497613820954481,0.0589215656666667,4.42,1.47673915954729,2.78318953520735
MSMEG_5961,pass,14.15,7.69,-0.0706936936936936,0.598011468987309,0.0894951947627628,3.82,0.87864477264683,1.83864731592514
MSMEG_2754,pass,10.98,7.70,-0.0910516516516516,0.628999118642265,0.130267110882882,3.46,0.512611656496473,1.42663043478261
MSMEG_5884,pass,24.11,7.71,-0.0414698198198198,0.159459175281067,0.24149481769069,4.59,1.6445326116239,3.12646553071753
MSMEG_1216,pass,20.45,7.72,-0.0489027027027027,0.172959289124163,0.304637204072072,4.35,1.40482373488229,2.64785429236095
MSMEG_3748,pass,19.38,7.81,-0.051590990990991,0.422965541624508,0.0967339053933932,4.28,1.31210320903405,2.48303261049495
MSMEG_6880,pass,22.45,7.82,-0.0445376876876876,0.212993088724235,0.195255189894894,4.49,1.52153845025299,2.87097038799115
MSMEG_4693,pass,15.91,7.82,-0.0628666666666666,0.512202210501348,0.100270566222222,3.99,1.02370969243523,2.03314018501576
MSMEG_6452,pass,24.30,7.89,-0.0411489489489489,0.241714814754433,0.141508007459459,4.60,1.62208037307829,3.07818592242972
MSMEG_2408,pass,24.44,7.90,-0.0409174174174174,0.233669822137216,0.146272926318318,4.61,1.62950089679765,3.09405940594059
MSMEG_5733,pass,17.78,7.91,-0.0562342342342341,0.439698935671228,0.1073499446006,4.15,1.16794523101586,2.24691450490309
MSMEG_2953,pass,29.97,7.93,-0.0333686186186186,0.110307098808419,0.239247462387387,4.91,1.91792855873107,3.77880103572009
MSMEG_6874,pass,18.69,7.94,-0.0534972972972973,0.311899502514399,0.168203525405405,4.22,1.23477424238778,2.35344517086694
MSMEG_5867,pass,11.97,7.98,-0.0835542042042042,0.363164236036164,0.326133346351351,3.58,0.584570965201766,1.49959296762308
MSMEG_2752,pass,22.21,8.04,-0.0450181681681681,0.282200263628422,0.137326938495495,4.47,1.46675942253109,2.76400346158529
MSMEG_2164,pass,10.75,8.09,-0.0930478978978979,0.613563560380416,0.145266631504504,3.43,0.409821178884587,1.32852113455705
MSMEG_4326,pass,22.30,8.09,-0.0448509009009009,0.500491553499196,0.0534838480450449,4.48,1.46254535819019,2.75594167902467
MSMEG_3984,pass,9.58,8.09,-0.104436936936936,0.529711980824676,0.257968448276276,3.26,0.242834482890299,1.18331525490583
MSMEG_6422,pass,14.75,8.13,-0.067807057057057,0.526200202362603,0.110287901162162,3.88,0.858560980637747,1.81322879925399
MSMEG_3647,pass,18.35,8.17,-0.0544902402402402,0.492238063514832,0.0815936974624626,4.20,1.16725848138791,2.24584518640515
MSMEG_5834,pass,23.04,8.23,-0.0434109609609609,0.13441575572504,0.323289935288288,4.53,1.4857346349463,2.80059746079164
MSMEG_2669,pass,25.25,8.27,-0.039603003003003,0.194826774202076,0.172675667315315,4.66,1.60977256315931,3.05203723485427
VBIMycSme59918_0718,pass,20.28,8.32,-0.0493114114114114,0.259901492694931,0.184463243819819,4.34,1.2856006030696,2.43783520234032
MSMEG_4747,pass,11.73,8.34,-0.0852645645645645,0.538665703985965,0.165869980504504,3.55,0.492315283611091,1.40670058378074
MSMEG_2429,pass,12.12,8.36,-0.0824794294294294,0.413114647226317,0.257459068549549,3.60,0.53688777519206,1.45083934510494
MSMEG_4290,pass,38.95,8.37,-0.0256756756756756,0.206922957671225,0.0673107893933934,5.28,2.21898861297244,4.65566939079554
MSMEG_4072,pass,14.45,8.37,-0.0691866366366366,0.341805250511743,0.245558143864865,3.85,0.788032558082643,1.72671808449407
MSMEG_6347,pass,14.76,8.40,-0.0677486486486487,0.233011929805853,0.402481522018017,3.88,0.813119168652764,1.75700606167091
ORF35,pass,11.13,8.44,-0.0898274774774774,0.347010162705884,0.404498445486486,3.48,0.399153936155833,1.31873431648117
MSMEG_2183,pass,14.20,8.45,-0.0704417417417417,0.364433652096177,0.230534969849849,3.83,0.748315816672779,1.67983067306816
MSMEG_3013,pass,16.62,8.45,-0.0601606606606606,0.428436943038201,0.128628336372372,4.06,0.975302082605951,1.9660528212858
MSMEG_4691,pass,22.43,8.48,-0.0445768768768768,0.307465003173488,0.119233840156156,4.49,1.4034146442652,2.64526937659819
MSMEG_3289,pass,31.68,8.49,-0.0315672672672672,0.0936537404292249,0.256907755279279,4.99,1.89919723500052,3.73005585758647
MSMEG_4690,pass,22.17,8.49,-0.0451126126126126,0.432706166810983,0.0710796297177177,4.47,1.38383053381327,2.60960334029228
MSMEG_1060,pass,16.43,8.49,-0.0608504504504504,0.517471969487081,0.0919808741501501,4.04,0.951996375811491,1.93454779945188
MSMEG_2525,pass,14.95,8.51,-0.0668972972972973,0.240182376584357,0.37715475696096,3.90,0.812576094323592,1.75634479557401
MSMEG_2582,pass,16.06,8.51,-0.0622822822822822,0.212996432370985,0.381827874126126,4.01,0.915074005017975,1.88566579716522
MSMEG_5151,pass,21.36,8.54,-0.0468234234234234,0.375240939792141,0.097244018006006,4.42,1.32303630410713,2.50192111800132
MSMEG_0919,pass,16.05,8.55,-0.0622954954954954,0.526952151365232,0.0928071421261261,4.00,0.908337236006742,1.87688107053721
MSMEG_3955,pass,17.31,8.58,-0.0577534534534534,0.50711978237762,0.0863616582822821,4.11,1.01347984275952,2.01877460381549
MSMEG_4219,pass,15.96,8.59,-0.0626662162162162,0.578493986572818,0.0762265198168168,4.00,0.894143160561229,1.85850576136786
MSMEG_2688,pass,11.91,8.60,-0.083928078078078,0.530000396074132,0.166406418819819,3.57,0.470662114492508,1.38574530001386
MSMEG_3454,pass,10.24,8.60,-0.0976141141141141,0.766105033401765,0.0774982713153152,3.36,0.25242641195976,1.19120887847684
MSMEG_0170,pass,11.62,8.62,-0.0860687687687687,0.299114421635559,0.462418469837837,3.54,0.431013596998446,1.34818043790185
MSMEG_3657,pass,22.92,8.62,-0.0436241741741741,0.266360595656823,0.13963726372072,4.52,1.41081178850915,2.65886732252061
MSMEG_4830,pass,14.31,8.65,-0.0698777777777778,0.534191526286774,0.113428654666666,3.84,0.725878940459651,1.65390794820906
MSMEG_1112,pass,23.31,8.66,-0.0429055555555555,0.2087821878197,0.185850567444444,4.54,1.42832087885299,2.69133294672122
MSMEG_0231,pass,14.71,8.67,-0.0679633633633633,0.404825099339074,0.180909395975976,3.88,0.762360533295191,1.69626377709479
MSMEG_0383,pass,12.70,8.68,-0.0787567567567567,0.423991057035932,0.224482451783783,3.67,0.549140045579518,1.46321325113791
MSMEG_2658,pass,14.32,8.68,-0.0698453453453454,0.501872540178102,0.128990049045045,3.84,0.721174102914201,1.64852309992994
MSMEG_2941,pass,24.66,8.69,-0.0405475975975975,0.152003022199838,0.244346744801801,4.62,1.50464594035444,2.83755024828564
MSMEG_0497,pass,8.99,8.73,-0.111198498498498,0.443365195574937,0.413562190162162,3.17,0.0431751063576149,1.03037900774502
MSMEG_6557,pass,12.53,8.75,-0.0798174174174174,0.662816125504658,0.0863382605405405,3.65,0.517736828189188,1.43170754987115
MSMEG_4162,pass,20.91,8.76,-0.0478288288288288,0.464063548974515,0.0703800470150148,4.39,1.25535365631802,2.3872566165931
MSMEG_5152,pass,21.77,8.76,-0.0459442942942942,0.368114500508405,0.0965278992882884,4.44,1.31283690570884,2.48429570216844
MSMEG_0918,pass,12.28,8.80,-0.0814327327327327,0.604077612181074,0.115784269057056,3.62,0.480156202690532,1.39489468545125
MSMEG_3015,pass,20.00,8.80,-0.0500025525525524,0.427144092482922,0.0893284014264263,4.32,1.18365970837204,2.27152267736806
MSMEG_6648,pass,9.43,8.83,-0.106049549549549,0.499089415525109,0.300700206150149,3.24,0.0946380967615094,1.06779751508264
MSMEG_2542,pass,13.51,8.84,-0.0740277777777777,0.50513321178001,0.143023048333333,3.76,0.611692359201684,1.5280506439642
MSMEG_2949,pass,20.22,8.84,-0.0494471471471471,0.274937686320582,0.171774130738738,4.34,1.19327332684064,2.28670986007514
MSMEG_5509,pass,11.68,8.88,-0.0856075075075075,0.454967099315618,0.233884075387387,3.55,0.395897038628906,1.31576061928467
MSMEG_6126,pass,10.78,8.91,-0.0928007507507507,0.59543448008734,0.155880606207207,3.43,0.274157069657987,1.20928732666882
MSMEG_1981,pass,18.54,8.99,-0.0539430930930931,0.516702905360162,0.0725068756846846,4.21,1.0448856210704,2.06320277844641
VBIMycSme59918_2263,pass,10.03,9.00,-0.0997168168168168,0.879600378518025,0.0362585762882881,3.33,0.155775057150302,1.11401994095694
MSMEG_4109,pass,19.99,9.01,-0.0500264264264264,0.195578944488791,0.274217087351351,4.32,1.15034761599044,2.21967370796493
MSMEG_3084,pass,22.22,9.03,-0.0450079579579579,0.398947914802452,0.0813034074684683,4.47,1.29823971874247,2.45928633649025
MSMEG_2443,pass,11.26,9.04,-0.0888045045045045,0.583158209662113,0.150172036348348,3.49,0.316348455187521,1.24517494708007
MSMEG_0520,pass,25.90,9.05,-0.0386103603603603,0.175108716085757,0.187081516429429,4.69,1.51766797925262,2.86327845382963
MSMEG_3103,pass,23.33,9.07,-0.04286006006006,0.400574528147635,0.0732304385705705,4.54,1.36339471218275,2.5728987993139
VBIMycSme59918_1005,pass,9.74,9.07,-0.102646996996996,0.891430730575066,0.0341858223153153,3.28,0.102707935258436,1.07378706802441
MSMEG_2959,pass,12.02,9.09,-0.0831954954954955,0.317797485532001,0.395819061681681,3.59,0.403732705740707,1.32292631300437
MSMEG_1794,pass,24.71,9.10,-0.0404714714714714,0.117759912571037,0.326904969873873,4.63,1.44136383703503,2.7157747717456
MSMEG_4112,pass,26.67,9.11,-0.0374984984984984,0.265337829573745,0.103717127939939,4.74,1.54969234707668,2.92754702955805
MSMEG_2382,pass,20.25,9.11,-0.0493822822822822,0.407437330134505,0.0944822021261262,4.34,1.15232372797041,2.22271615914648
MSMEG_5781,pass,12.47,9.13,-0.0802207207207207,0.580965183339194,0.123653764384384,3.64,0.449901446318948,1.36594694271804
MSMEG_4852,pass,11.35,9.15,-0.0880984984984985,0.320733590109435,0.437891915495495,3.50,0.310611372778339,1.2402331638348
MSMEG_0887,pass,16.58,9.16,-0.0603033033033033,0.225126229645874,0.333442756864864,4.05,0.856432432163238,1.81055553879115
MSMEG_2351,pass,25.11,9.16,-0.039824024024024,0.212289673301922,0.156769716624624,4.65,1.45486003022058,2.74129963710414
MSMEG_4972,pass,9.49,9.21,-0.105401051051051,0.467858192480394,0.336617930459459,3.25,0.0421844314524036,1.02967170633763
MSMEG_5512,pass,16.71,9.22,-0.0598297297297297,0.456494446490941,0.11353683672072,4.06,0.857608347040319,1.8120318917613
VBIMycSme59918_5677,pass,14.46,9.23,-0.0691435435435435,0.356269759577111,0.230124277045045,3.85,0.648560122996091,1.5676028739386
MSMEG_3999,pass,15.46,9.23,-0.0646887387387387,0.523037492283659,0.101658338843844,3.95,0.743426366967847,1.67414718145364
MSMEG_5482,pass,30.33,9.26,-0.0329702702702702,0.148055023479251,0.166635540276276,4.92,1.7119210455151,3.27596750240238
MSMEG_4361,pass,27.23,9.29,-0.0367234234234233,0.353649316112388,0.0656622757837836,4.77,1.55134537806654,2.93090331714541
MSMEG_5122,pass,21.25,9.29,-0.0470548048048048,0.37901034627777,0.096644127984985,4.41,1.19330474646824,2.28675966155957
MSMEG_5665,pass,18.71,9.31,-0.0534554054054054,0.369436376001358,0.129929190843843,4.23,1.007493964049,2.01041586888259
MSMEG_2948,pass,11.71,9.31,-0.085404954954955,0.591394667291865,0.134253922279279,3.55,0.331457238534456,1.25828370103179
MSMEG_3665,pass,17.05,9.31,-0.0586659159159159,0.38202346160002,0.148315958651651,4.09,0.872762938075185,1.83116645303058
MSMEG_4954,pass,20.01,9.37,-0.0499848348348348,0.340347086014899,0.129004301606606,4.32,1.09505996369928,2.13621960337523
MSMEG_6399,pass,11.55,9.37,-0.0865569069069069,0.678590461354954,0.0945341423513514,3.53,0.302738766650119,1.23348379877768
MSMEG_4047,pass,16.87,9.43,-0.0592803303303303,0.296934774915703,0.221661366315315,4.08,0.839106849546404,1.78894229212917
MSMEG_5904,pass,28.83,9.43,-0.0346828828828828,0.196748280758557,0.130829390150149,4.85,1.61227623917655,3.05733838754202
MSMEG_3950,pass,15.13,9.44,-0.0660777777777777,0.686297160710075,0.0531681226666666,3.92,0.680307753065385,1.60248155715422
MSMEG_1729,pass,16.71,9.48,-0.0598575075075075,0.384805878253315,0.152595581054054,4.06,0.817041401987198,1.76178930677786
VBIMycSme59918_1714,pass,16.71,9.48,-0.0598575075075075,0.384805878253315,0.152595581054054,4.06,0.817041401987198,1.76178930677786
MSMEG_1519,pass,10.68,9.49,-0.0936333333333333,0.678720714296602,0.110557144,3.42,0.170718702002463,1.12561909049977
MSMEG_3803,pass,17.43,9.56,-0.0573741741741742,0.194797206398757,0.362484686498498,4.12,0.866680732928749,1.82346275577322
MSMEG_3254,pass,24.78,9.57,-0.0403539039039039,0.319874275156476,0.0922391343273273,4.63,1.37274939677228,2.58963612609952
MSMEG_4714,pass,19.78,9.57,-0.0505477477477477,0.309879562061892,0.151589735531531,4.31,1.04767353439857,2.06719363698111
MSMEG_2942,pass,15.11,9.59,-0.0661602102102102,0.223788287742489,0.404455561378378,3.92,0.656838570308152,1.57662392264032
MSMEG_4367,pass,32.88,9.61,-0.0304118618618619,0.133776260006775,0.159540618207207,5.04,1.77404352262096,3.42011188651743
MSMEG_2723,pass,18.52,9.62,-0.0539876876876877,0.506545497758563,0.0756401411171171,4.21,0.945220968480379,1.92548377779917
MSMEG_5492,pass,26.53,9.63,-0.0376881381381381,0.109183749655767,0.308726359984985,4.73,1.46202478762876,2.75494742641995
MSMEG_5777,pass,11.80,9.63,-0.0847731231231231,0.50635080142846,0.186645499156156,3.56,0.292180751493314,1.22448979591837
MSMEG_4544,pass,17.19,9.67,-0.0581683183183183,0.3368143989363,0.177480921882882,4.10,0.82960486345111,1.7771985426972
MSMEG_6025,pass,15.15,9.68,-0.0659998498498498,0.274111968255826,0.307299429066066,3.92,0.645897157002198,1.56471201847851
MSMEG_4106,pass,19.09,9.70,-0.0523855855855856,0.226161359345176,0.250143851531531,4.25,0.976957607334139,1.96831020568842
MSMEG_3117,pass,14.81,9.70,-0.0675375375375375,0.59094054843414,0.0841138100180178,3.89,0.609662488384074,1.52590218966964
MSMEG_4640,pass,10.06,9.72,-0.0993734234234234,0.549529506691948,0.215650294783783,3.33,0.0497214336518425,1.03506504644485
MSMEG_2639,pass,11.53,9.76,-0.0867034534534534,0.46971247743498,0.226092587504504,3.53,0.241554678423346,1.18226600985222
MSMEG_3840,pass,17.22,9.89,-0.0580725225225225,0.437886088632796,0.115329069486486,4.11,0.800451338733983,1.74164590514167
MSMEG_1402,pass,19.30,9.90,-0.051819069069069,0.426090018371021,0.0963509168018019,4.27,0.962781796500564,1.94906444906445
MSMEG_5535,pass,5.76,9.91,-0.17369009009009,0.762046532420116,0.250954419339339,2.53,-0.78320518232877,0.581074406577762
MSMEG_4766,pass,12.09,9.92,-0.0827175675675675,0.441934235623816,0.2301746356006,3.60,0.285717842925081,1.21901665989435
MSMEG_2118,pass,14.83,9.94,-0.0674346846846847,0.307038907886851,0.273411212573573,3.89,0.577659339525038,1.49242593836281
MSMEG_6636,pass,20.19,9.94,-0.0495396396396396,0.234485297265112,0.213440989873873,4.34,1.02156028013235,2.03011334799526
MSMEG_2022,pass,11.14,9.96,-0.0897415915915915,0.46181549152533,0.250025584405405,3.48,0.162468054478678,1.11920014496307
