gene	HalfLife_vals_logPhase	HalfLife_cls_logPhase	HalfLife_BestIntervalMSE_logPhase	HalfLife_vals_hypoxia	HalfLife_cls_hypoxia	HalfLife_BestIntervalMSE_hypoxia	HalfLife_FC_hypoxiaToLogPhase	HalfLife_FCcls_hypoxiaToLogPhase
MSMEG_0001	0.75	Med-fast	0.0185	26.21	Med-slow	0.125	34.95	Med-large
MSMEG_0002	0.92	Med-fast	0.0913	66.82	Slow	0.0612	72.63	Large
MSMEG_0003	0.68	Fast	0.0754	47.84	Slow	0.067	70.35	Large
MSMEG_0005	0.98	Med-slow	0.0518	10.9	Fast	0.0873	11.12	Small
MSMEG_0006	1.65	Slow	0.2381	47.58	Slow	0.0485	28.84	Med-large
MSMEG_0007	1.49	Slow	0.2344	48.54	Slow	0.0761	32.58	Med-large
MSMEG_0009	0.62	Fast	0.3405	12.29	Fast	0.0766	19.82	Med-small
MSMEG_0011	0.64	Fast	0.3486	15.69	Fast	0.1764	24.52	Med-small
MSMEG_0012	0.97	Med-slow	0.0856	NA	NA	NA	NA	NA
MSMEG_0015	1.56	Slow	0.1332	24.69	Med-slow	0.4434	15.83	Small
MSMEG_0017	0.74	Med-fast	0.0685	NA	NA	NA	NA	NA
MSMEG_0019	5.24	Slow	0.2181	26.36	Med-slow	0.2409	5.03	Small
MSMEG_0020	1.12	Med-slow	0.1376	NA	NA	NA	NA	NA
MSMEG_0021	0.82	Med-fast	0.0364	NA	NA	NA	NA	NA
MSMEG_0022	0.94	Med-fast	0.0861	NA	NA	NA	NA	NA
MSMEG_0023	2.23	Slow	0.0418	23.79	Med-fast	0.1433	10.67	Small
MSMEG_0024	1.06	Med-slow	0.3176	24.47	Med-slow	0.0868	23.08	Med-small
MSMEG_0025	0.75	Med-fast	0.0432	32.13	Med-slow	0.136	42.84	Large
MSMEG_0026	0.64	Fast	0.0613	10.26	Fast	0.1032	16.03	Small
MSMEG_0027	1.54	Slow	0.1886	18.31	Med-fast	0.1505	11.89	Small
MSMEG_0028	1.64	Slow	0.0562	112.23	Slow	0.0833	68.43	Large
MSMEG_0029	0.67	Fast	0.0786	18.4	Med-fast	0.1888	27.46	Med-large
MSMEG_0030	1.53	Slow	0.1754	41.59	Slow	0.076	27.18	Med-large
MSMEG_0031	1.4	Slow	0.3591	58.23	Slow	0.0933	41.59	Large
MSMEG_0032	NA	NA	NA	97.99	Slow	0.073	NA	NA
MSMEG_0033	0.97	Med-slow	0.066	26.8	Med-slow	0.0586	27.63	Med-large
MSMEG_0034	0.61	Fast	0.165	21.97	Med-fast	0.0623	36.02	Med-large
MSMEG_0035	1.22	Med-slow	0.0282	58.57	Slow	0.0854	48.01	Large
MSMEG_0042	0.64	Fast	0.1083	18.97	Med-fast	0.2598	29.64	Med-large
MSMEG_0043	0.84	Med-fast	0.1248	16.1	Fast	0.1008	19.17	Med-small
MSMEG_0044	0.76	Med-fast	0.0777	17.9	Med-fast	0.0961	23.55	Med-small
MSMEG_0045	2.5	Slow	0.42	41.8	Slow	0.0797	16.72	Small
MSMEG_0046	1.36	Med-slow	0.463	57.56	Slow	0.0444	42.32	Large
MSMEG_0047	0.88	Med-fast	0.0144	22.57	Med-fast	0.1697	25.65	Med-small
MSMEG_0048	1.1	Med-slow	0.0268	25.2	Med-slow	0.1941	22.91	Med-small
MSMEG_0049	0.52	Fast	0.0502	21.02	Med-fast	0.2298	40.42	Large
MSMEG_0050	1.15	Med-slow	0.1723	NA	NA	NA	NA	NA
MSMEG_0051	0.82	Med-fast	0.3289	NA	NA	NA	NA	NA
MSMEG_0052	0.83	Med-fast	0.1128	17.2	Fast	0.1238	20.72	Med-small
MSMEG_0053	0.74	Med-fast	0.0347	16.93	Fast	0.1069	22.88	Med-small
MSMEG_0054	0.44	Fast	0.0584	19.92	Med-fast	0.1394	45.27	Large
MSMEG_0055	1.04	Med-slow	0.0727	106.31	Slow	0.1426	102.22	Large
MSMEG_0056	0.62	Fast	0.0958	56.46	Slow	0.1281	91.06	Large
MSMEG_0057	0.94	Med-fast	0.0235	48.64	Slow	0.1412	51.74	Large
MSMEG_0058	0.95	Med-fast	0.0362	NA	NA	NA	NA	NA
MSMEG_0059	NA	NA	NA	73.96	Slow	0.1549	NA	NA
MSMEG_0060	1.37	Med-slow	0.4404	NA	NA	NA	NA	NA
MSMEG_0061	1.54	Slow	0.1523	128.24	Slow	0.2194	83.27	Large
MSMEG_0062	1.7	Slow	0.203	118	Slow	0.1664	69.41	Large
MSMEG_0063	2.7	Slow	0.2314	NA	NA	NA	NA	NA
MSMEG_0064	2.89	Slow	0.1601	NA	NA	NA	NA	NA
MSMEG_0065	4.87	Slow	0.1398	NA	NA	NA	NA	NA
MSMEG_0066	5.26	Slow	0.1349	NA	NA	NA	NA	NA
MSMEG_0067	2.64	Slow	0.215	NA	NA	NA	NA	NA
MSMEG_0068	2.47	Slow	0.2067	1296.48	Slow	0.1862	524.89	Large
MSMEG_0069	1.34	Med-slow	0.0286	22.26	Med-fast	0.1642	16.61	Small
MSMEG_0070	1.01	Med-slow	0.0368	153.45	Slow	0.0838	151.93	Large
MSMEG_0071	1.52	Slow	0.3034	43.97	Slow	0.0617	28.93	Med-large
MSMEG_0072	0.59	Fast	0.3378	10.87	Fast	0.2263	18.42	Small
MSMEG_0073	0.95	Med-fast	0.0532	22.98	Med-fast	0.0845	24.19	Med-small
MSMEG_0074	1	Med-slow	0.0451	24.51	Med-slow	0.1255	24.51	Med-small
MSMEG_0075	1.19	Med-slow	0.4283	19.54	Med-fast	0.2725	16.42	Small
MSMEG_0076	0.83	Med-fast	0.1273	34.92	Med-slow	0.1722	42.07	Large
MSMEG_0077	1.36	Med-slow	0.2686	NA	NA	NA	NA	NA
MSMEG_0080	NA	NA	NA	68.62	Slow	0.101	NA	NA
MSMEG_0082	0.66	Fast	0.1593	54.65	Slow	0.1623	82.8	Large
MSMEG_0083	1.09	Med-slow	0.0871	45.34	Slow	0.1544	41.6	Large
MSMEG_0084	NA	NA	NA	465.96	Slow	0.4094	NA	NA
MSMEG_0085	0.88	Med-fast	0.2315	31.6	Med-slow	0.1175	35.91	Med-large
MSMEG_0086	1.07	Med-slow	0.3677	16.21	Fast	0.1363	15.15	Small
MSMEG_0087	0.58	Fast	0.1585	15.61	Fast	0.1539	26.91	Med-large
MSMEG_0088	0.93	Med-fast	0.2139	607.83	Slow	0.361	653.58	Large
MSMEG_0089	0.91	Med-fast	0.1276	NA	NA	NA	NA	NA
MSMEG_0090	1.06	Med-slow	0.0156	17.41	Med-fast	0.093	16.42	Small
MSMEG_0091	0.52	Fast	0.1968	9.95	Fast	0.0932	19.13	Med-small
MSMEG_0092	0.37	Fast	0.0597	16.34	Fast	0.1396	44.16	Large
MSMEG_0093	0.55	Fast	0.0325	14.94	Fast	0.073	27.16	Med-large
MSMEG_0095	0.7	Fast	0.1038	21.56	Med-fast	0.0588	30.8	Med-large
MSMEG_0096	2.73	Slow	0.1658	39.86	Slow	0.144	14.6	Small
MSMEG_0097	3	Slow	0.2529	109.71	Slow	0.0616	36.57	Med-large
MSMEG_0098	NA	NA	NA	15.39	Fast	0.136	NA	NA
MSMEG_0099	1.76	Slow	0.0362	32.39	Med-slow	0.1121	18.4	Small
MSMEG_0100	0.99	Med-slow	0.0572	47.66	Slow	0.0498	48.14	Large
MSMEG_0101	0.58	Fast	0.1058	31.74	Med-slow	0.1205	54.72	Large
MSMEG_0102	1.2	Med-slow	0.0211	21.35	Med-fast	0.1001	17.79	Small
MSMEG_0103	0.84	Med-fast	0.1388	24.93	Med-slow	0.2451	29.68	Med-large
MSMEG_0104	0.58	Fast	0.2079	15.89	Fast	0.1735	27.4	Med-large
MSMEG_0105	0.44	Fast	0.2789	104.26	Slow	0.3481	236.95	Large
MSMEG_0107	NA	NA	NA	17.33	Med-fast	0.0608	NA	NA
MSMEG_0109	0.65	Fast	0.1853	NA	NA	NA	NA	NA
MSMEG_0110	1.06	Med-slow	0.0155	48.81	Slow	0.1639	46.05	Large
MSMEG_0111	0.48	Fast	0.2114	17.09	Fast	0.2558	35.6	Med-large
MSMEG_0113	2.12	Slow	0.0332	NA	NA	NA	NA	NA
MSMEG_0114	1.38	Slow	0.0981	NA	NA	NA	NA	NA
MSMEG_0115	1.88	Slow	0.116	NA	NA	NA	NA	NA
MSMEG_0116	1.16	Med-slow	0.076	NA	NA	NA	NA	NA
MSMEG_0118	0.68	Fast	0.252	30.16	Med-slow	0.3097	44.35	Large
MSMEG_0119	0.41	Fast	0.0867	9.69	Fast	0.1172	23.63	Med-small
MSMEG_0120	0.64	Fast	0.1557	19.06	Med-fast	0.1724	29.78	Med-large
MSMEG_0121	1.28	Med-slow	0.0273	31.69	Med-slow	0.0892	24.76	Med-small
MSMEG_0122	0.91	Med-fast	0.158	49.17	Slow	0.4781	54.03	Large
MSMEG_0124	1.12	Med-slow	0.0549	60.86	Slow	0.3703	54.34	Large
MSMEG_0126	1.09	Med-slow	0.1261	NA	NA	NA	NA	NA
MSMEG_0127	2.34	Slow	0.0142	244.12	Slow	0.3271	104.32	Large
MSMEG_0128	0.66	Fast	0.2095	22.49	Med-fast	0.4102	34.08	Med-large
MSMEG_0129	0.4	Fast	0.049	12.57	Fast	0.1871	31.42	Med-large
MSMEG_0130	0.95	Med-fast	0.1104	NA	NA	NA	NA	NA
MSMEG_0131	0.93	Med-fast	0.2916	33.93	Med-slow	0.3525	36.48	Med-large
MSMEG_0132	0.97	Med-slow	0.0541	52.57	Slow	0.242	54.2	Large
MSMEG_0133	0.66	Fast	0.2069	NA	NA	NA	NA	NA
MSMEG_0134	0.7	Fast	0.0838	NA	NA	NA	NA	NA
MSMEG_0136	NA	NA	NA	99.26	Slow	0.2212	NA	NA
MSMEG_0137	NA	NA	NA	73.77	Slow	0.166	NA	NA
MSMEG_0138	1.55	Slow	0.4108	NA	NA	NA	NA	NA
MSMEG_0139	1.97	Slow	0.2406	NA	NA	NA	NA	NA
MSMEG_0140	4.05	Slow	0.0412	109.26	Slow	0.2607	26.98	Med-large
MSMEG_0141	2.61	Slow	0.083	63.34	Slow	0.2949	24.27	Med-small
MSMEG_0142	1.91	Slow	0.0445	NA	NA	NA	NA	NA
MSMEG_0143	1.57	Slow	0.2383	NA	NA	NA	NA	NA
MSMEG_0144	0.59	Fast	0.1321	22.12	Med-fast	0.1963	37.49	Med-large
MSMEG_0145	2.51	Slow	0.3457	NA	NA	NA	NA	NA
MSMEG_0146	0.65	Fast	0.0757	13	Fast	0.099	20	Med-small
MSMEG_0147	NA	NA	NA	15.64	Fast	0.2992	NA	NA
MSMEG_0148	1.07	Med-slow	0.1554	20.63	Med-fast	0.4896	19.28	Med-small
MSMEG_0152	1.3	Med-slow	0.2302	NA	NA	NA	NA	NA
MSMEG_0153	1.19	Med-slow	0.0434	31.39	Med-slow	0.2524	26.38	Med-small
MSMEG_0154	1.13	Med-slow	0.2205	NA	NA	NA	NA	NA
MSMEG_0155	0.66	Fast	0.1643	44.38	Slow	0.481	67.24	Large
MSMEG_0156	1.83	Slow	0.0882	NA	NA	NA	NA	NA
MSMEG_0158	6.62	Slow	0.1445	NA	NA	NA	NA	NA
MSMEG_0159	2	Slow	0.4559	NA	NA	NA	NA	NA
MSMEG_0160	2.73	Slow	0.441	NA	NA	NA	NA	NA
MSMEG_0161	2.15	Slow	0.2944	NA	NA	NA	NA	NA
MSMEG_0165	1.44	Slow	0.0969	NA	NA	NA	NA	NA
MSMEG_0166	0.57	Fast	0.0892	19.83	Med-fast	0.2358	34.79	Med-large
MSMEG_0167	1.69	Slow	0.0763	37.65	Med-slow	0.3271	22.28	Med-small
MSMEG_0169	1.01	Med-slow	0.0838	NA	NA	NA	NA	NA
MSMEG_0170	1.35	Med-slow	0.1149	11.62	Fast	0.4624	8.61	Small
MSMEG_0172	0.46	Fast	0.0992	14.9	Fast	0.0927	32.39	Med-large
MSMEG_0173	0.82	Med-fast	0.1046	35.94	Med-slow	0.0805	43.83	Large
MSMEG_0174	0.51	Fast	0.3037	13.9	Fast	0.128	27.25	Med-large
MSMEG_0175	1.23	Med-slow	0.0976	NA	NA	NA	NA	NA
MSMEG_0178	0.74	Med-fast	0.3111	NA	NA	NA	NA	NA
MSMEG_0179	1.07	Med-slow	0.0725	18.8	Med-fast	0.4571	17.57	Small
MSMEG_0180	0.45	Fast	0.4423	19.83	Med-fast	0.4493	44.07	Large
MSMEG_0181	0.88	Med-fast	0.1923	NA	NA	NA	NA	NA
MSMEG_0182	0.93	Med-fast	0.1605	15.13	Fast	0.4235	16.27	Small
MSMEG_0184	1.21	Med-slow	0.1704	36.28	Med-slow	0.1426	29.98	Med-large
MSMEG_0185	1.33	Med-slow	0.0899	34.14	Med-slow	0.1877	25.67	Med-small
MSMEG_0186	NA	NA	NA	58.67	Slow	0.3994	NA	NA
MSMEG_0187	0.47	Fast	0.03	15.35	Fast	0.2363	32.66	Med-large
MSMEG_0188	0.8	Med-fast	0.0802	18.2	Med-fast	0.446	22.75	Med-small
MSMEG_0189	1.22	Med-slow	0.1347	112.13	Slow	0.2194	91.91	Large
MSMEG_0191	1.16	Med-slow	0.0748	18.01	Med-fast	0.3595	15.53	Small
MSMEG_0192	0.45	Fast	0.3353	NA	NA	NA	NA	NA
MSMEG_0193	1	Med-slow	0.0478	NA	NA	NA	NA	NA
MSMEG_0194	1	Med-slow	0.0327	21.78	Med-fast	0.0664	21.78	Med-small
MSMEG_0195	1.21	Med-slow	0.2535	NA	NA	NA	NA	NA
MSMEG_0196	0.83	Med-fast	0.4429	NA	NA	NA	NA	NA
MSMEG_0201	NA	NA	NA	26.44	Med-slow	0.2671	NA	NA
MSMEG_0202	0.81	Med-fast	0.0465	18.71	Med-fast	0.1435	23.1	Med-small
MSMEG_0203	0.8	Med-fast	0.0535	24.49	Med-slow	0.1903	30.61	Med-large
MSMEG_0206	0.94	Med-fast	0.0942	19.57	Med-fast	0.0871	20.82	Med-small
MSMEG_0207	0.99	Med-slow	0.4019	NA	NA	NA	NA	NA
MSMEG_0209	NA	NA	NA	18.18	Med-fast	0.356	NA	NA
MSMEG_0210	0.81	Med-fast	0.0597	13.35	Fast	0.0383	16.48	Small
MSMEG_0211	0.83	Med-fast	0.0908	36.22	Med-slow	0.0757	43.64	Large
MSMEG_0212	0.83	Med-fast	0.0789	14.45	Fast	0.1416	17.41	Small
MSMEG_0213	0.62	Fast	0.2425	31.47	Med-slow	0.074	50.76	Large
MSMEG_0214	0.87	Med-fast	0.1029	31.61	Med-slow	0.0864	36.33	Med-large
MSMEG_0215	0.84	Med-fast	0.0518	21.59	Med-fast	0.0993	25.7	Med-small
MSMEG_0216	3.45	Slow	0.1362	19.69	Med-fast	0.1143	5.71	Small
MSMEG_0217	1.34	Med-slow	0.1114	NA	NA	NA	NA	NA
MSMEG_0218	2.11	Slow	0.1881	NA	NA	NA	NA	NA
MSMEG_0219	0.85	Med-fast	0.0647	18.03	Med-fast	0.0939	21.21	Med-small
MSMEG_0220	0.55	Fast	0.0534	38.85	Slow	0.1336	70.64	Large
MSMEG_0221	0.48	Fast	0.4258	17.48	Med-fast	0.1419	36.42	Med-large
MSMEG_0222	0.51	Fast	0.2069	562.88	Slow	0.0734	1103.69	Large
MSMEG_0223	0.73	Med-fast	0.0592	62.89	Slow	0.2418	86.15	Large
MSMEG_0224	1.58	Slow	0.0183	18.79	Med-fast	0.0986	11.89	Small
MSMEG_0225	0.81	Med-fast	0.0781	102.27	Slow	0.0989	126.26	Large
MSMEG_0226	0.37	Fast	0.2483	11.15	Fast	0.1446	30.14	Med-large
MSMEG_0227	0.6	Fast	0.1272	13.08	Fast	0.1506	21.8	Med-small
MSMEG_0228	0.73	Med-fast	0.0664	28.96	Med-slow	0.1372	39.67	Med-large
MSMEG_0229	1.37	Med-slow	0.0239	40.47	Slow	0.1208	29.54	Med-large
MSMEG_0230	0.49	Fast	0.0718	8.6	Fast	0.1046	17.55	Small
MSMEG_0231	1.7	Slow	0.1485	14.71	Fast	0.1809	8.65	Small
MSMEG_0232	1.68	Slow	0.0349	80.21	Slow	0.1431	47.74	Large
MSMEG_0233	0.68	Fast	0.0617	18.91	Med-fast	0.069	27.81	Med-large
MSMEG_0234	1.83	Slow	0.024	22.73	Med-fast	0.0582	12.42	Small
MSMEG_0235	0.76	Med-fast	0.0759	59.63	Slow	0.2397	78.46	Large
MSMEG_0236	1.1	Med-slow	0.0353	98.75	Slow	0.2306	89.77	Large
MSMEG_0237	0.91	Med-fast	0.2071	10.05	Fast	0.2561	11.04	Small
MSMEG_0238	0.72	Fast	0.1677	NA	NA	NA	NA	NA
MSMEG_0239	1.58	Slow	0.0188	52.73	Slow	0.0653	33.37	Med-large
MSMEG_0240	1.25	Med-slow	0.0231	24.36	Med-slow	0.1058	19.49	Med-small
MSMEG_0241	0.92	Med-fast	0.0514	22.17	Med-fast	0.0789	24.1	Med-small
MSMEG_0242	0.71	Fast	0.0351	10.06	Fast	0.2979	14.17	Small
MSMEG_0243	3.98	Slow	0.1667	64.12	Slow	0.2059	16.11	Small
MSMEG_0244	2.35	Slow	0.0265	52.17	Slow	0.1207	22.2	Med-small
MSMEG_0245	0.93	Med-fast	0.0221	30.44	Med-slow	0.0873	32.73	Med-large
MSMEG_0247	0.62	Fast	0.2124	43.5	Slow	0.1112	70.16	Large
MSMEG_0248	0.59	Fast	0.0367	18.76	Med-fast	0.1458	31.8	Med-large
MSMEG_0249	0.92	Med-fast	0.0443	18.57	Med-fast	0.1889	20.18	Med-small
MSMEG_0250	0.74	Med-fast	0.1668	61.95	Slow	0.0973	83.72	Large
MSMEG_0251	0.66	Fast	0.0196	18.19	Med-fast	0.1121	27.56	Med-large
MSMEG_0252	0.54	Fast	0.08	11.9	Fast	0.1755	22.04	Med-small
MSMEG_0253	1.03	Med-slow	0.0156	49.75	Slow	0.2211	48.3	Large
MSMEG_0254	1.22	Med-slow	0.0507	131.37	Slow	0.0622	107.68	Large
MSMEG_0255	1.42	Slow	0.0249	35.77	Med-slow	0.0786	25.19	Med-small
MSMEG_0256	NA	NA	NA	19.01	Med-fast	0.088	NA	NA
MSMEG_0259	1.16	Med-slow	0.0274	21.29	Med-fast	0.2171	18.35	Small
MSMEG_0260	0.94	Med-fast	0.0408	22.89	Med-fast	0.1031	24.35	Med-small
MSMEG_0261	0.96	Med-slow	0.0386	28.51	Med-slow	0.0517	29.7	Med-large
MSMEG_0262	0.9	Med-fast	0.1326	30.9	Med-slow	0.0723	34.33	Med-large
MSMEG_0263	NA	NA	NA	32.96	Med-slow	0.151	NA	NA
MSMEG_0264	NA	NA	NA	679.94	Slow	0.2192	NA	NA
MSMEG_0266	NA	NA	NA	30.1	Med-slow	0.2426	NA	NA
MSMEG_0267	NA	NA	NA	45.01	Slow	0.4523	NA	NA
MSMEG_0268	0.91	Med-fast	0.0555	17.65	Med-fast	0.212	19.4	Med-small
MSMEG_0269	NA	NA	NA	18.05	Med-fast	0.269	NA	NA
MSMEG_0270	1.94	Slow	0.0807	35.73	Med-slow	0.1971	18.42	Small
MSMEG_0271	2.4	Slow	0.1084	NA	NA	NA	NA	NA
MSMEG_0278	1.88	Slow	0.2251	NA	NA	NA	NA	NA
MSMEG_0280	0.79	Med-fast	0.1752	NA	NA	NA	NA	NA
MSMEG_0281	1.49	Slow	0.1404	19.91	Med-fast	0.3585	13.36	Small
MSMEG_0282	1.13	Med-slow	0.0514	NA	NA	NA	NA	NA
MSMEG_0283	1.24	Med-slow	0.1106	NA	NA	NA	NA	NA
MSMEG_0284	2.04	Slow	0.2766	22.68	Med-fast	0.1076	11.12	Small
MSMEG_0285	1.35	Med-slow	0.0612	NA	NA	NA	NA	NA
MSMEG_0286	1.33	Med-slow	0.0392	NA	NA	NA	NA	NA
MSMEG_0289	1.45	Slow	0.052	54.62	Slow	0.1405	37.67	Med-large
MSMEG_0290	1.34	Med-slow	0.0417	NA	NA	NA	NA	NA
MSMEG_0293	0.69	Fast	0.2265	19.39	Med-fast	0.3728	28.1	Med-large
MSMEG_0294	0.66	Fast	0.1199	NA	NA	NA	NA	NA
MSMEG_0295	NA	NA	NA	12.84	Fast	0.0781	NA	NA
MSMEG_0296	NA	NA	NA	12.47	Fast	0.2028	NA	NA
MSMEG_0300	NA	NA	NA	28.41	Med-slow	0.2279	NA	NA
MSMEG_0301	1.09	Med-slow	0.0631	33.33	Med-slow	0.1154	30.58	Med-large
MSMEG_0302	NA	NA	NA	79.48	Slow	0.0903	NA	NA
MSMEG_0303	NA	NA	NA	8.98	Fast	0.385	NA	NA
MSMEG_0304	0.61	Fast	0.2184	49.38	Slow	0.1524	80.95	Large
MSMEG_0305	0.55	Fast	0.128	8.69	Fast	0.2294	15.8	Small
MSMEG_0306	0.85	Med-fast	0.1936	NA	NA	NA	NA	NA
MSMEG_0307	NA	NA	NA	11.12	Fast	0.2922	NA	NA
MSMEG_0308	1.44	Slow	0.1759	25.14	Med-slow	0.2242	17.46	Small
MSMEG_0309	1.2	Med-slow	0.0209	22.25	Med-fast	0.0884	18.54	Small
MSMEG_0311	0.95	Med-fast	0.0051	64.68	Slow	0.0879	68.08	Large
MSMEG_0312	NA	NA	NA	149.65	Slow	0.3954	NA	NA
MSMEG_0313	NA	NA	NA	192.12	Slow	0.1551	NA	NA
MSMEG_0314	1.12	Med-slow	0.0916	16.65	Fast	0.2055	14.87	Small
MSMEG_0315	1	Med-slow	0.055	86.75	Slow	0.0632	86.75	Large
MSMEG_0316	1.11	Med-slow	0.0649	30.27	Med-slow	0.1263	27.27	Med-large
MSMEG_0317	0.55	Fast	0.0374	30.59	Med-slow	0.1178	55.62	Large
MSMEG_0318	0.94	Med-fast	0.1381	NA	NA	NA	NA	NA
MSMEG_0319	1.02	Med-slow	0.0096	52.85	Slow	0.125	51.81	Large
MSMEG_0320	NA	NA	NA	96.96	Slow	0.2368	NA	NA
MSMEG_0321	0.86	Med-fast	0.1081	25.44	Med-slow	0.0561	29.58	Med-large
MSMEG_0323	0.84	Med-fast	0.1251	NA	NA	NA	NA	NA
MSMEG_0324	0.93	Med-fast	0.1214	NA	NA	NA	NA	NA
MSMEG_0325	1.31	Med-slow	0.3902	NA	NA	NA	NA	NA
MSMEG_0326	1.01	Med-slow	0.3069	NA	NA	NA	NA	NA
MSMEG_0327	1.49	Slow	0.2674	55.14	Slow	0.2319	37.01	Med-large
MSMEG_0328	2.15	Slow	0.3244	NA	NA	NA	NA	NA
MSMEG_0329	1.88	Slow	0.3565	NA	NA	NA	NA	NA
MSMEG_0330	0.66	Fast	0.3441	NA	NA	NA	NA	NA
MSMEG_0332	0.78	Med-fast	0.1714	NA	NA	NA	NA	NA
MSMEG_0334	NA	NA	NA	41.16	Slow	0.2749	NA	NA
MSMEG_0337	NA	NA	NA	29.09	Med-slow	0.3409	NA	NA
MSMEG_0338	1.47	Slow	0.3679	NA	NA	NA	NA	NA
MSMEG_0339	NA	NA	NA	451.95	Slow	0.3035	NA	NA
MSMEG_0340	2.78	Slow	0.1689	NA	NA	NA	NA	NA
MSMEG_0341	0.67	Fast	0.1269	44.66	Slow	0.2323	66.66	Large
MSMEG_0342	0.91	Med-fast	0.1401	22.01	Med-fast	0.23	24.19	Med-small
MSMEG_0343	NA	NA	NA	7.32	Fast	0.241	NA	NA
MSMEG_0344	1.02	Med-slow	0.1861	50.61	Slow	0.2725	49.62	Large
MSMEG_0345	0.62	Fast	0.0706	9.65	Fast	0.2526	15.56	Small
MSMEG_0346	1.05	Med-slow	0.0717	20.64	Med-fast	0.2803	19.66	Med-small
MSMEG_0348	NA	NA	NA	22.36	Med-fast	0.2173	NA	NA
MSMEG_0349	1.01	Med-slow	0.3412	32.94	Med-slow	0.2542	32.61	Med-large
MSMEG_0350	1.38	Slow	0.1562	17.53	Med-fast	0.1629	12.7	Small
MSMEG_0351	1.37	Med-slow	0.2258	24.5	Med-slow	0.1202	17.88	Small
MSMEG_0352	1.88	Slow	0.0582	NA	NA	NA	NA	NA
MSMEG_0353	2.41	Slow	0.0902	96.81	Slow	0.4371	40.17	Med-large
MSMEG_0354	1.91	Slow	0.275	NA	NA	NA	NA	NA
MSMEG_0355	3.66	Slow	0.1288	NA	NA	NA	NA	NA
MSMEG_0356	1.26	Med-slow	0.237	NA	NA	NA	NA	NA
MSMEG_0357	1.8	Slow	0.0906	128.59	Slow	0.214	71.44	Large
MSMEG_0358	0.7	Fast	0.1119	26.63	Med-slow	0.1491	38.04	Med-large
MSMEG_0359	1.52	Slow	0.0203	29.51	Med-slow	0.0657	19.41	Med-small
MSMEG_0360	1.11	Med-slow	0.0518	16.57	Fast	0.1116	14.93	Small
MSMEG_0361	0.93	Med-fast	0.0194	167.51	Slow	0.2285	180.12	Large
MSMEG_0362	0.95	Med-fast	0.0995	40.41	Slow	0.2041	42.54	Large
MSMEG_0363	0.54	Fast	0.1096	14.57	Fast	0.1428	26.98	Med-large
MSMEG_0364	0.92	Med-fast	0.0279	17.84	Med-fast	0.1597	19.39	Med-small
MSMEG_0365	0.9	Med-fast	0.0403	27.2	Med-slow	0.1247	30.22	Med-large
MSMEG_0366	1.21	Med-slow	0.0411	23.26	Med-fast	0.1139	19.22	Med-small
MSMEG_0367	1.17	Med-slow	0.0563	40.29	Slow	0.3186	34.44	Med-large
MSMEG_0368	0.6	Fast	0.02	27.11	Med-slow	0.0967	45.18	Large
MSMEG_0369	0.47	Fast	0.4384	62.49	Slow	0.0672	132.96	Large
MSMEG_0370	NA	NA	NA	49.57	Slow	0.0517	NA	NA
MSMEG_0371	1.91	Slow	0.1066	36.27	Med-slow	0.0346	18.99	Med-small
MSMEG_0372	3.15	Slow	0.0307	23.39	Med-fast	0.0786	7.43	Small
MSMEG_0373	1.48	Slow	0.2834	29.39	Med-slow	0.1172	19.86	Med-small
MSMEG_0374	1.05	Med-slow	0.4149	25.01	Med-slow	0.2249	23.82	Med-small
MSMEG_0375	1.13	Med-slow	0.1436	57.64	Slow	0.1944	51.01	Large
MSMEG_0376	1.61	Slow	0.0843	26.6	Med-slow	0.215	16.52	Small
MSMEG_0380	0.48	Fast	0.0732	66.62	Slow	0.1142	138.79	Large
MSMEG_0381	0.59	Fast	0.1135	NA	NA	NA	NA	NA
MSMEG_0382	NA	NA	NA	21.08	Med-fast	0.2075	NA	NA
MSMEG_0383	1.46	Slow	0.3379	12.7	Fast	0.2245	8.7	Small
MSMEG_0384	NA	NA	NA	15.64	Fast	0.1199	NA	NA
MSMEG_0385	0.47	Fast	0.0566	79.34	Slow	0.3314	168.81	Large
MSMEG_0386	0.47	Fast	0.0516	22.33	Med-fast	0.154	47.51	Large
MSMEG_0387	0.59	Fast	0.1758	13.3	Fast	0.0767	22.54	Med-small
MSMEG_0388	0.76	Med-fast	0.0747	46.09	Slow	0.1807	60.64	Large
MSMEG_0389	NA	NA	NA	110.14	Slow	0.1271	NA	NA
MSMEG_0390	NA	NA	NA	94.75	Slow	0.1501	NA	NA
MSMEG_0391	0.6	Fast	0.1276	14.34	Fast	0.1514	23.9	Med-small
MSMEG_0392	0.36	Fast	0.1074	15.19	Fast	0.126	42.19	Large
MSMEG_0393	0.68	Fast	0.0959	13.96	Fast	0.246	20.53	Med-small
MSMEG_0394	NA	NA	NA	14.02	Fast	0.2745	NA	NA
MSMEG_0395	NA	NA	NA	44.68	Slow	0.3308	NA	NA
MSMEG_0396	NA	NA	NA	17.73	Med-fast	0.2082	NA	NA
MSMEG_0397	0.83	Med-fast	0.0336	21.34	Med-fast	0.1068	25.71	Med-small
MSMEG_0398	0.75	Med-fast	0.0232	25.07	Med-slow	0.1761	33.43	Med-large
MSMEG_0399	0.7	Fast	0.0246	8.96	Fast	0.1924	12.8	Small
MSMEG_0400	1.59	Slow	0.4469	36.09	Med-slow	0.0587	22.7	Med-small
