MSMEG_0001	0.6261	0.8255	0.2903
MSMEG_0002	0.4658	0.9352	0.3527
MSMEG_0003	0.2196	0.4076	0.376
MSMEG_0004	0.2863	0.4634	0.8105
MSMEG_0005	0.7734	0.3197	0.1457
MSMEG_0006	0.7681	0.3516	0.4574
MSMEG_0007	0.5497	1.0722	0.75
MSMEG_0009	1.7709	4.2985	4.2823
MSMEG_0011	0.4211	0.599	0.4806
MSMEG_0012	0.3142	0.2926	0.3012
MSMEG_0014	0.7592	0.7034	0.7662
MSMEG_0015	0.8873	0.6984	0.5474
MSMEG_0016	1.1385	1.3097	1.4191
MSMEG_0017	0.4239	0.3069	0.2452
MSMEG_0018	0.3809	0.1719	0.2434
MSMEG_0019	0.3429	0.352	0.3258
MSMEG_0020	0.3941	0.2309	0.2274
MSMEG_0021	1.0206	1.0852	0.5828
MSMEG_0022	0.6175	0.4542	0.5616
MSMEG_0023	1.4804	1.7349	0.9418
MSMEG_0024	0.8437	0.8757	0.7851
MSMEG_0025	0.214	0.2401	0.1793
MSMEG_0026	1.0732	1.1062	1.0589
MSMEG_0027	0.7024	0.5291	0.2351
MSMEG_0028	0.6655	0.5017	0.2219
MSMEG_0029	1.1063	0.8613	1.101
MSMEG_0030	0.4262	0.4054	0.6539
MSMEG_0031	0.2799	0.1862	0.2164
MSMEG_0032	0.6283	0.1875	0.25
MSMEG_0033	0.4342	0.4695	0.3181
MSMEG_0034	0.2671	0.2209	0.6142
MSMEG_0035	0.8917	0.7388	1.0655
MSMEG_0036	0.8192	13.8954	6.4799
MSMEG_0039	0.4179	0.3528	0.3516
MSMEG_0040	0.6173	0.5733	0.4735
MSMEG_0041	0.9852	0.7733	0.5641
MSMEG_0042	0.9733	0.3439	0.4455
MSMEG_0043	0.3709	0.5952	0.3981
MSMEG_0044	0.4039	0.6532	0.4994
MSMEG_0045	0.4772	0.5234	0.5765
MSMEG_0046	0.5481	0.6024	0.3971
MSMEG_0047	0.4016	0.1779	0.1696
MSMEG_0048	0.9187	0.7278	0.8376
MSMEG_0049	1.0996	0.7211	0.3841
MSMEG_0050	1.5301	0.5668	1.4143
MSMEG_0051	1.6641	1.14	1.2953
MSMEG_0052	0.3996	0.3333	0.6168
MSMEG_0053	0.3782	0.4492	0.3235
MSMEG_0054	0.381	0.9172	0.036
