,No zero values in 0-15 minute timepoints,half-life for 0-15 minutes,hyp_1_5_slope,hyp_1_5_r2,hyp_1_5_mse
MSMEG_6028,pass,9.49,-0.105425225225225,0.406904447908266,0.431574250870871
MSMEG_4972,pass,9.49,-0.105401051051051,0.467858192480394,0.336617930459459
MSMEG_5546,pass,9.50,-0.105307357357357,0.605043207984896,0.192847869846846
MSMEG_0650,pass,9.50,-0.105278678678678,0.670495803185432,0.145104191711711
MSMEG_3336,pass,9.50,-0.105209159159159,0.554573515675359,0.236841733054054
MSMEG_1310,pass,9.52,-0.105006906906906,0.494885247239221,0.299816478018018
MSMEG_5102,pass,9.53,-0.104878528528528,0.790564213500806,0.0776284888738737
MSMEG_1895,pass,9.56,-0.104585435435435,0.382246647987125,0.470921006171171
MSMEG_5956,pass,9.57,-0.104506606606606,0.475800593284843,0.320548138126126
MSMEG_6356,pass,9.57,-0.104452102102102,0.530626729181045,0.257097480837837
MSMEG_3984,pass,9.58,-0.104436936936936,0.529711980824676,0.257968448276276
MSMEG_3858,pass,9.61,-0.104008108108108,0.694509227374007,0.126761885537537
MSMEG_5970,pass,9.64,-0.103768468468468,0.600886461965393,0.190532503735735
MSMEG_0345,pass,9.65,-0.103638738738738,0.531079935045783,0.25264888251051
MSMEG_2415,pass,9.65,-0.103629879879879,0.445976891380067,0.355401890615615
