locus_tag,name,tnseq_ess,crispr_ess
MSMEG1103,MSMEG1103,NonEssential,NonEssential
MSMEG1104,MSMEG1104,NonEssential,NonEssential
MSMEG1105,MSMEG1105,Uncertain,NonEssential
MSMEG1106,MSMEG1106,NonEssential,NonEssential
MSMEG1107,MSMEG1107,NonEssential,NonEssential
MSMEG1108,MSMEG1108,NonEssential,NonEssential
MSMEG1109,MSMEG1109,Essential,Essential
MSMEG1110,MSMEG1110,NonEssential,NonEssential
MSMEG1111,MSMEG1111,NonEssential,NonEssential
MSMEG1112,MSMEG1112,NonEssential,NonEssential
MSMEG1113,MSMEG1113,NonEssential,NonEssential
MSMEG1114,MSMEG1114,NonEssential,NonEssential
MSMEG1115,ubiE,Essential,Essential
MSMEG1116,MSMEG1116,NonEssential,NonEssential
MSMEG1117,MSMEG1117,NonEssential,NonEssential
MSMEG1118,MSMEG1118,NonEssential,NonEssential
MSMEG1119,MSMEG1119,NonEssential,NonEssential
MSMEG1120,MSMEG1120,NonEssential,NonEssential
MSMEG1121,MSMEG1121,NonEssential,NonEssential
MSMEG1122,MSMEG1122,NonEssential,NonEssential
MSMEG1123,MSMEG1123,NonEssential,NonEssential
MSMEG1124,MSMEG1124,NonEssential,NonEssential
MSMEG1125,MSMEG1125,NonEssential,NonEssential
MSMEG1126,MSMEG1126,NonEssential,NonEssential
MSMEG1127,MSMEG1127,NonEssential,NonEssential
MSMEG1128,MSMEG1128,NonEssential,NonEssential
MSMEG1129,MSMEG1129,NonEssential,NonEssential
MSMEG1130,MSMEG1130,NonEssential,NonEssential
MSMEG1131,MSMEG1131,NonEssential,NonEssential
MSMEG1132,MSMEG1132,NonEssential,NonEssential
MSMEG1133,MSMEG1133,Essential,Essential
MSMEG1134,MSMEG1134,NonEssential,NonEssential
MSMEG1135,MSMEG1135,NonEssential,NonEssential
MSMEG1136,MSMEG1136,NonEssential,NonEssential
MSMEG1137,MSMEG1137,NonEssential,NonEssential
MSMEG1138,MSMEG1138,NonEssential,NonEssential
MSMEG1139,MSMEG1139,NonEssential,NonEssential
MSMEG1140,MSMEG1140,NonEssential,NonEssential
MSMEG1141,MSMEG1141,NonEssential,NonEssential
MSMEG1142,MSMEG1142,NonEssential,NonEssential
MSMEG1143,MSMEG1143,NonEssential,NonEssential
MSMEG1144,MSMEG1144,NonEssential,NonEssential
MSMEG1145,MSMEG1145,NonEssential,NonEssential
MSMEG1146,MSMEG1146,NonEssential,NonEssential
MSMEG1147,MSMEG1147,NonEssential,NonEssential
MSMEG1148,MSMEG1148,NonEssential,NonEssential
MSMEG1149,MSMEG1149,NonEssential,NonEssential
MSMEG1150,MSMEG1150,NonEssential,NonEssential
MSMEG1151,MSMEG1151,NonEssential,NonEssential
MSMEG1152,MSMEG1152,NonEssential,NonEssential
MSMEG1153,MSMEG1153,NonEssential,NonEssential
MSMEG1154,MSMEG1154,NonEssential,NonEssential
MSMEG1155,MSMEG1155,NonEssential,NonEssential
MSMEG1156,MSMEG1156,NonEssential,NonEssential
MSMEG1157,MSMEG1157,NonEssential,NonEssential
MSMEG1158,MSMEG1158,NonEssential,NonEssential
MSMEG1159,MSMEG1159,NonEssential,NonEssential
MSMEG1160,MSMEG1160,NonEssential,NonEssential
MSMEG1161,MSMEG1161,NonEssential,NonEssential
MSMEG1162,MSMEG1162,NonEssential,NonEssential
MSMEG1163,MSMEG1163,NonEssential,NonEssential
MSMEG1164,MSMEG1164,Uncertain,NonEssential
MSMEG1165,MSMEG1165,NonEssential,NonEssential
MSMEG1166,MSMEG1166,Uncertain,NonEssential
MSMEG1167,MSMEG1167,NonEssential,NonEssential
MSMEG1168,MSMEG1168,NonEssential,NonEssential
MSMEG1169,MSMEG1169,NonEssential,NonEssential
MSMEG1170,MSMEG1170,Unknown,NonEssential
MSMEG1171,MSMEG1171,NonEssential,NonEssential
MSMEG1172,arsB,NonEssential,NonEssential
MSMEG1173,MSMEG1173,NonEssential,NonEssential
MSMEG1174,MSMEG1174,NonEssential,NonEssential
MSMEG1175,MSMEG1175,NonEssential,NonEssential
MSMEG1176,MSMEG1176,NonEssential,NonEssential
MSMEG1177,MSMEG1177,NonEssential,NonEssential
MSMEG1178,MSMEG1178,NonEssential,NonEssential
MSMEG1179,hutU,NonEssential,NonEssential
MSMEG1180,MSMEG1180,NonEssential,NonEssential
MSMEG1181,hutF,NonEssential,NonEssential
MSMEG1182,hutI,NonEssential,NonEssential
MSMEG1183,hutH,NonEssential,NonEssential
MSMEG1184,MSMEG1184,NonEssential,NonEssential
MSMEG1185,MSMEG1185,NonEssential,NonEssential
MSMEG1186,MSMEG1186,NonEssential,NonEssential
MSMEG1187,MSMEG1187,NonEssential,NonEssential
MSMEG1188,MSMEG1188,NonEssential,NonEssential
MSMEG1189,MSMEG1189,NonEssential,NonEssential
MSMEG1190,MSMEG1190,NonEssential,NonEssential
MSMEG1191,MSMEG1191,NonEssential,NonEssential
MSMEG1192,MSMEG1192,NonEssential,NonEssential
MSMEG1193,MSMEG1193,NonEssential,NonEssential
MSMEG1194,MSMEG1194,NonEssential,NonEssential
MSMEG1195,MSMEG1195,NonEssential,NonEssential
MSMEG1196,MSMEG1196,NonEssential,NonEssential
MSMEG1197,MSMEG1197,NonEssential,NonEssential
MSMEG1198,MSMEG1198,NonEssential,NonEssential
MSMEG1199,MSMEG1199,NonEssential,NonEssential
MSMEG1200,MSMEG1200,NonEssential,NonEssential
MSMEG1201,MSMEG1201,NonEssential,NonEssential
MSMEG1202,MSMEG1202,NonEssential,NonEssential
MSMEG1203,MSMEG1203,NonEssential,NonEssential
MSMEG1204,MSMEG1204,NonEssential,NonEssential
MSMEG1205,MSMEG1205,NonEssential,NonEssential
MSMEG1206,MSMEG1206,Unknown,NonEssential
MSMEG1207,MSMEG1207,NonEssential,NonEssential
MSMEG1208,MSMEG1208,NonEssential,NonEssential
MSMEG1209,MSMEG1209,NonEssential,NonEssential
MSMEG1210,MSMEG1210,NonEssential,NonEssential
MSMEG1211,MSMEG1211,NonEssential,NonEssential
MSMEG1212,MSMEG1212,NonEssential,NonEssential
MSMEG1213,MSMEG1213,NonEssential,NonEssential
MSMEG1214,MSMEG1214,NonEssential,NonEssential
MSMEG1215,MSMEG1215,NonEssential,NonEssential
MSMEG1216,MSMEG1216,NonEssential,NonEssential
MSMEG1217,MSMEG1217,NonEssential,NonEssential
MSMEG1218,MSMEG1218,NonEssential,NonEssential
MSMEG1219,MSMEG1219,NonEssential,NonEssential
MSMEG1220,MSMEG1220,NonEssential,NonEssential
MSMEG1221,MSMEG1221,NonEssential,NonEssential
MSMEG1222,MSMEG1222,NonEssential,NonEssential
MSMEG1223,MSMEG1223,NonEssential,NonEssential
MSMEG1225,MSMEG1225,NonEssential,NonEssential
MSMEG1226,MSMEG1226,NonEssential,NonEssential
MSMEG1227,MSMEG1227,NonEssential,NonEssential
MSMEG1228,MSMEG1228,NonEssential,NonEssential
MSMEG1229,gyrB,NonEssential,NonEssential
MSMEG1230,MSMEG1230,NonEssential,NonEssential
MSMEG1231,MSMEG1231,NonEssential,NonEssential
MSMEG1232,MSMEG1232,NonEssential,NonEssential
MSMEG1233,MSMEG1233,Uncertain,NonEssential
MSMEG1234,MSMEG1234,NonEssential,NonEssential
MSMEG1235,MSMEG1235,NonEssential,NonEssential
MSMEG1236,MSMEG1236,NonEssential,NonEssential
MSMEG1237,MSMEG1237,NonEssential,NonEssential
MSMEG1238,MSMEG1238,NonEssential,NonEssential
MSMEG1240,MSMEG1240,NonEssential,NonEssential
MSMEG1241,MSMEG1241,NonEssential,NonEssential
MSMEG1242,iscS,NonEssential,NonEssential
MSMEG1243,MSMEG1243,NonEssential,NonEssential
MSMEG1244,MSMEG1244,NonEssential,NonEssential
MSMEG1245,MSMEG1245,NonEssential,NonEssential
MSMEG1246,MSMEG1246,NonEssential,NonEssential
MSMEG1247,MSMEG1247,NonEssential,NonEssential
MSMEG1248,MSMEG1248,NonEssential,NonEssential
MSMEG1249,MSMEG1249,NonEssential,NonEssential
MSMEG1250,MSMEG1250,NonEssential,NonEssential
MSMEG1251,MSMEG1251,NonEssential,NonEssential
MSMEG1252,MSMEG1252,NonEssential,NonEssential
MSMEG1253,MSMEG1253,NonEssential,NonEssential
MSMEG1254,MSMEG1254,NonEssential,NonEssential
MSMEG1255,MSMEG1255,NonEssential,NonEssential
MSMEG1256,MSMEG1256,NonEssential,NonEssential
MSMEG1260,MSMEG1260,NonEssential,NonEssential
MSMEG1261,MSMEG1261,NonEssential,NonEssential
MSMEG1262,MSMEG1262,NonEssential,NonEssential
MSMEG1263,MSMEG1263,NonEssential,NonEssential
MSMEG1264,MSMEG1264,NonEssential,NonEssential
MSMEG1265,MSMEG1265,NonEssential,NonEssential
MSMEG1266,MSMEG1266,NonEssential,NonEssential
MSMEG1267,MSMEG1267,Uncertain,NonEssential
MSMEG1268,MSMEG1268,NonEssential,NonEssential
MSMEG1269,MSMEG1269,NonEssential,NonEssential
MSMEG1270,MSMEG1270,NonEssential,NonEssential
MSMEG1271,MSMEG1271,NonEssential,NonEssential
MSMEG1272,MSMEG1272,NonEssential,NonEssential
MSMEG1273,MSMEG1273,NonEssential,NonEssential
MSMEG1274,MSMEG1274,NonEssential,NonEssential
MSMEG1275,MSMEG1275,NonEssential,NonEssential
MSMEG1276,MSMEG1276,NonEssential,NonEssential
MSMEG1277,MSMEG1277,Unknown,NonEssential
MSMEG1278,MSMEG1278,NonEssential,NonEssential
MSMEG1279,MSMEG1279,NonEssential,NonEssential
MSMEG1280,MSMEG1280,NonEssential,NonEssential
MSMEG1281,MSMEG1281,NonEssential,NonEssential
MSMEG1282,MSMEG1282,NonEssential,NonEssential
MSMEG1283,MSMEG1283,NonEssential,NonEssential
MSMEG1284,MSMEG1284,NonEssential,NonEssential
MSMEG1285,MSMEG1285,NonEssential,NonEssential
MSMEG1286,MSMEG1286,NonEssential,NonEssential
MSMEG1287,MSMEG1287,NonEssential,NonEssential
MSMEG1288,MSMEG1288,NonEssential,NonEssential
MSMEG1289,MSMEG1289,NonEssential,NonEssential
MSMEG1290,ilvD,NonEssential,NonEssential
MSMEG1291,MSMEG1291,NonEssential,NonEssential
MSMEG1292,MSMEG1292,NonEssential,NonEssential
MSMEG1293,MSMEG1293,NonEssential,NonEssential
MSMEG1294,MSMEG1294,NonEssential,NonEssential
MSMEG1295,MSMEG1295,NonEssential,NonEssential
MSMEG1296,MSMEG1296,NonEssential,NonEssential
MSMEG1297,MSMEG1297,NonEssential,NonEssential
MSMEG1298,MSMEG1298,NonEssential,NonEssential
MSMEG1299,MSMEG1299,NonEssential,NonEssential
MSMEG1300,MSMEG1300,NonEssential,NonEssential
MSMEG1301,MSMEG1301,NonEssential,NonEssential
MSMEG1302,MSMEG1302,NonEssential,NonEssential
MSMEG1303,MSMEG1303,NonEssential,NonEssential
MSMEG1304,MSMEG1304,NonEssential,NonEssential
MSMEG1305,MSMEG1305,NonEssential,NonEssential
MSMEG1306,MSMEG1306,NonEssential,NonEssential
MSMEG1307,MSMEG1307,NonEssential,NonEssential
MSMEG1308,MSMEG1308,NonEssential,NonEssential
MSMEG1309,MSMEG1309,NonEssential,NonEssential
MSMEG1311,MSMEG1311,NonEssential,NonEssential
MSMEG1312,MSMEG1312,NonEssential,NonEssential
MSMEG1313,MSMEG1313,NonEssential,NonEssential
MSMEG1314,MSMEG1314,NonEssential,NonEssential
MSMEG1315,MSMEG1315,NonEssential,NonEssential
MSMEG1316,prfC,NonEssential,NonEssential
MSMEG1317,MSMEG1317,NonEssential,NonEssential
MSMEG1318,MSMEG1318,NonEssential,NonEssential
MSMEG1319,MSMEG1319,NonEssential,NonEssential
MSMEG1320,MSMEG1320,NonEssential,NonEssential
MSMEG1321,MSMEG1321,NonEssential,NonEssential
MSMEG1322,MSMEG1322,NonEssential,NonEssential
MSMEG1323,MSMEG1323,NonEssential,NonEssential
MSMEG1324,MSMEG1324,Essential,NonEssential
MSMEG1325,recD,NonEssential,NonEssential
MSMEG1326,MSMEG1326,NonEssential,NonEssential
MSMEG1327,recB,NonEssential,NonEssential
MSMEG1328,recC,NonEssential,NonEssential
MSMEG1329,MSMEG1329,NonEssential,NonEssential
MSMEG1330,MSMEG1330,NonEssential,NonEssential
MSMEG1331,MSMEG1331,NonEssential,NonEssential
MSMEG1332,MSMEG1332,NonEssential,NonEssential
MSMEG1333,MSMEG1333,NonEssential,NonEssential
MSMEG1334,MSMEG1334,NonEssential,NonEssential
MSMEG1335,MSMEG1335,NonEssential,NonEssential
MSMEG1336,MSMEG1336,NonEssential,NonEssential
MSMEG1337,MSMEG1337,Uncertain,Essential
MSMEG1339,rpmG,NonEssential,NonEssential
MSMEG1340,MSMEG1340,NonEssential,NonEssential
MSMEG1341,MSMEG1341,NonEssential,NonEssential
MSMEG1342,MSMEG1342,NonEssential,NonEssential
MSMEG1343,MSMEG1343,Uncertain,NonEssential
MSMEG1344,secE,Essential,Essential
MSMEG1345,nusG,Essential,Essential
MSMEG1346,rplK,Essential,Essential
MSMEG1347,rplA,Essential,Essential
MSMEG1348,MSMEG1348,NonEssential,NonEssential
MSMEG1349,MSMEG1349,NonEssential,NonEssential
MSMEG1350,MSMEG1350,NonEssential,NonEssential
MSMEG1351,MSMEG1351,NonEssential,NonEssential
MSMEG1352,MSMEG1352,NonEssential,NonEssential
MSMEG1353,MSMEG1353,NonEssential,NonEssential
MSMEG1354,MSMEG1354,Uncertain,NonEssential
MSMEG1355,MSMEG1355,NonEssential,NonEssential
MSMEG1356,MSMEG1356,NonEssential,NonEssential
MSMEG1357,MSMEG1357,NonEssential,NonEssential
MSMEG1358,MSMEG1358,NonEssential,NonEssential
MSMEG1359,MSMEG1359,NonEssential,NonEssential
MSMEG1360,MSMEG1360,NonEssential,NonEssential
MSMEG1361,MSMEG1361,NonEssential,NonEssential
MSMEG1362,MSMEG1362,NonEssential,NonEssential
MSMEG1363,MSMEG1363,NonEssential,NonEssential
MSMEG1364,rplJ,NonEssential,Essential
MSMEG1365,rplL,NonEssential,Essential
MSMEG1366,MSMEG1366,NonEssential,NonEssential
MSMEG1367,rpoB,Essential,Essential
MSMEG1368,rpoC,Essential,Essential
MSMEG1369,MSMEG1369,NonEssential,NonEssential
MSMEG1370,MSMEG1370,NonEssential,NonEssential
MSMEG1371,MSMEG1371,NonEssential,NonEssential
MSMEG1372,MSMEG1372,NonEssential,NonEssential
MSMEG1373,MSMEG1373,NonEssential,NonEssential
MSMEG1374,MSMEG1374,NonEssential,NonEssential
MSMEG1375,MSMEG1375,NonEssential,NonEssential
MSMEG1376,MSMEG1376,NonEssential,NonEssential
MSMEG1377,MSMEG1377,NonEssential,NonEssential
MSMEG1378,MSMEG1378,NonEssential,NonEssential
MSMEG1379,MSMEG1379,NonEssential,NonEssential
MSMEG1380,MSMEG1380,NonEssential,NonEssential
MSMEG1381,MSMEG1381,NonEssential,NonEssential
MSMEG1382,MSMEG1382,NonEssential,NonEssential
MSMEG1383,MSMEG1383,NonEssential,NonEssential
MSMEG1385,MSMEG1385,NonEssential,NonEssential
MSMEG1386,MSMEG1386,NonEssential,NonEssential
MSMEG1387,MSMEG1387,NonEssential,NonEssential
MSMEG1388,MSMEG1388,NonEssential,NonEssential
MSMEG1389,MSMEG1389,NonEssential,NonEssential
MSMEG1390,MSMEG1390,NonEssential,NonEssential
MSMEG1391,MSMEG1391,NonEssential,NonEssential
MSMEG1392,MSMEG1392,NonEssential,NonEssential
MSMEG1393,MSMEG1393,NonEssential,NonEssential
MSMEG1394,MSMEG1394,NonEssential,NonEssential
MSMEG1395,MSMEG1395,NonEssential,NonEssential
MSMEG1396,MSMEG1396,NonEssential,NonEssential
MSMEG1397,MSMEG1397,NonEssential,NonEssential
MSMEG1398,rpsL,Essential,NonEssential
MSMEG1399,rpsG,Essential,Essential
MSMEG1400,MSMEG1400,Uncertain,Essential
MSMEG1401,tuf,Essential,Essential
MSMEG1402,MSMEG1402,NonEssential,NonEssential
MSMEG1403,MSMEG1403,NonEssential,NonEssential
MSMEG1406,MSMEG1406,NonEssential,NonEssential
MSMEG1407,MSMEG1407,Uncertain,NonEssential
MSMEG1408,MSMEG1408,Uncertain,NonEssential
MSMEG1409,arcA,NonEssential,NonEssential
MSMEG1410,fabG,NonEssential,NonEssential
MSMEG1411,MSMEG1411,NonEssential,NonEssential
MSMEG1412,MSMEG1412,NonEssential,NonEssential
MSMEG1413,rocD,NonEssential,NonEssential
MSMEG1414,MSMEG1414,NonEssential,NonEssential
MSMEG1415,MSMEG1415,NonEssential,NonEssential
MSMEG1416,MSMEG1416,NonEssential,NonEssential
MSMEG1417,MSMEG1417,NonEssential,NonEssential
MSMEG1418,MSMEG1418,NonEssential,NonEssential
MSMEG1419,MSMEG1419,NonEssential,NonEssential
MSMEG1420,MSMEG1420,NonEssential,NonEssential
MSMEG1421,MSMEG1421,NonEssential,NonEssential
MSMEG1422,MSMEG1422,NonEssential,NonEssential
MSMEG1423,MSMEG1423,NonEssential,NonEssential
MSMEG1424,MSMEG1424,NonEssential,NonEssential
MSMEG1425,MSMEG1425,NonEssential,NonEssential
MSMEG1426,MSMEG1426,NonEssential,NonEssential
MSMEG1427,MSMEG1427,NonEssential,NonEssential
MSMEG1428,MSMEG1428,NonEssential,NonEssential
MSMEG1429,MSMEG1429,NonEssential,NonEssential
MSMEG1430,MSMEG1430,NonEssential,NonEssential
MSMEG1431,MSMEG1431,NonEssential,NonEssential
MSMEG1432,MSMEG1432,NonEssential,NonEssential
MSMEG1433,MSMEG1433,NonEssential,NonEssential
MSMEG1434,MSMEG1434,NonEssential,NonEssential
MSMEG1435,rpsJ,NonEssential,NonEssential
MSMEG1436,rplC,Essential,NonEssential
MSMEG1437,rplD,Essential,Essential
MSMEG1438,rplW,Essential,NonEssential
MSMEG1439,rplB,Essential,Essential
MSMEG1440,rpsS,Essential,NonEssential
MSMEG1441,rplV,Essential,Essential
MSMEG1442,rpsC,Essential,Essential
MSMEG1443,rplP,Essential,Essential
MSMEG1444,rpmC,Essential,Essential
MSMEG1445,MSMEG1445,Essential,NonEssential
MSMEG1446,MSMEG1446,NonEssential,NonEssential
MSMEG1447,MSMEG1447,NonEssential,NonEssential
MSMEG1448,MSMEG1448,NonEssential,NonEssential
MSMEG1449,MSMEG1449,Uncertain,NonEssential
MSMEG1450,MSMEG1450,NonEssential,NonEssential
MSMEG1451,MSMEG1451,NonEssential,NonEssential
MSMEG1452,MSMEG1452,NonEssential,NonEssential
MSMEG1453,MSMEG1453,NonEssential,NonEssential
MSMEG1454,MSMEG1454,NonEssential,NonEssential
MSMEG1455,MSMEG1455,NonEssential,NonEssential
MSMEG1456,MSMEG1456,NonEssential,NonEssential
MSMEG1457,MSMEG1457,NonEssential,NonEssential
MSMEG1458,MSMEG1458,NonEssential,NonEssential
MSMEG1459,MSMEG1459,NonEssential,NonEssential
MSMEG1460,MSMEG1460,NonEssential,NonEssential
MSMEG1461,MSMEG1461,NonEssential,NonEssential
MSMEG1462,MSMEG1462,NonEssential,NonEssential
MSMEG1463,MSMEG1463,NonEssential,NonEssential
MSMEG1464,MSMEG1464,NonEssential,NonEssential
MSMEG1465,rplN,Essential,NonEssential
MSMEG1466,rplX,Essential,NonEssential
MSMEG1467,rplE,Essential,Essential
MSMEG1468,rpsN,Essential,NonEssential
MSMEG1469,rpsH,Essential,Essential
MSMEG1470,rplF,Essential,Essential
MSMEG1471,rplR,Essential,NonEssential
MSMEG1472,rpsE,Essential,Essential
MSMEG1474,rplO,Essential,NonEssential
MSMEG1475,MSMEG1475,NonEssential,NonEssential
MSMEG1476,sppA,NonEssential,NonEssential
MSMEG1477,MSMEG1477,NonEssential,NonEssential
MSMEG1478,MSMEG1478,NonEssential,NonEssential
MSMEG1479,MSMEG1479,NonEssential,NonEssential
MSMEG1480,MSMEG1480,NonEssential,NonEssential
MSMEG1481,MSMEG1481,NonEssential,NonEssential
MSMEG1482,MSMEG1482,NonEssential,NonEssential
MSMEG1483,secY,Essential,Essential
MSMEG1484,adk,Essential,Essential
MSMEG1485,map,NonEssential,NonEssential
MSMEG1486,MSMEG1486,NonEssential,NonEssential
MSMEG1487,MSMEG1487,NonEssential,NonEssential
MSMEG1488,MSMEG1488,NonEssential,NonEssential
MSMEG1489,MSMEG1489,NonEssential,NonEssential
MSMEG1490,MSMEG1490,NonEssential,NonEssential
MSMEG1491,MSMEG1491,NonEssential,NonEssential
MSMEG1492,MSMEG1492,NonEssential,NonEssential
MSMEG1493,MSMEG1493,NonEssential,NonEssential
MSMEG1494,MSMEG1494,NonEssential,NonEssential
MSMEG1495,MSMEG1495,NonEssential,NonEssential
MSMEG1496,mmsB,NonEssential,NonEssential
MSMEG1497,MSMEG1497,NonEssential,NonEssential
MSMEG1498,mmsA,NonEssential,NonEssential
MSMEG1499,MSMEG1499,NonEssential,NonEssential
MSMEG1500,MSMEG1500,NonEssential,NonEssential
MSMEG1501,MSMEG1501,NonEssential,NonEssential
MSMEG1502,MSMEG1502,NonEssential,NonEssential
MSMEG1503,MSMEG1503,NonEssential,NonEssential
MSMEG1504,MSMEG1504,NonEssential,NonEssential
MSMEG1505,MSMEG1505,NonEssential,NonEssential
MSMEG1506,MSMEG1506,NonEssential,NonEssential
MSMEG1507,MSMEG1507,NonEssential,NonEssential
MSMEG1508,MSMEG1508,NonEssential,NonEssential
MSMEG1509,MSMEG1509,NonEssential,NonEssential
MSMEG1510,MSMEG1510,Essential,NonEssential
MSMEG1511,MSMEG1511,NonEssential,NonEssential
MSMEG1512,rfbB,Essential,Essential
MSMEG1513,MSMEG1513,NonEssential,NonEssential
MSMEG1514,MSMEG1514,NonEssential,NonEssential
MSMEG1515,MSMEG1515,NonEssential,NonEssential
MSMEG1516,MSMEG1516,NonEssential,NonEssential
MSMEG1517,MSMEG1517,NonEssential,NonEssential
MSMEG1518,MSMEG1518,NonEssential,NonEssential
MSMEG1519,infA,Essential,NonEssential
MSMEG1521,rpsM,Essential,Essential
MSMEG1522,rpsK,Essential,NonEssential
MSMEG1523,rpsD,Essential,Essential
MSMEG1524,rpoA,Essential,Essential
MSMEG1525,MSMEG1525,NonEssential,Essential
MSMEG1526,MSMEG1526,NonEssential,NonEssential
MSMEG1527,truA,NonEssential,NonEssential
MSMEG1528,MSMEG1528,NonEssential,NonEssential
MSMEG1529,MSMEG1529,NonEssential,NonEssential
MSMEG1530,MSMEG1530,NonEssential,NonEssential
MSMEG1531,MSMEG1531,NonEssential,NonEssential
MSMEG1532,MSMEG1532,NonEssential,NonEssential
MSMEG1533,MSMEG1533,NonEssential,NonEssential
MSMEG1534,MSMEG1534,NonEssential,NonEssential
MSMEG1535,MSMEG1535,NonEssential,NonEssential
MSMEG1536,MSMEG1536,NonEssential,NonEssential
MSMEG1537,MSMEG1537,NonEssential,NonEssential
MSMEG1538,MSMEG1538,Unknown,NonEssential
MSMEG1539,MSMEG1539,NonEssential,NonEssential
MSMEG1540,MSMEG1540,NonEssential,NonEssential
MSMEG1541,MSMEG1541,NonEssential,NonEssential
MSMEG1542,MSMEG1542,NonEssential,NonEssential
MSMEG1543,MSMEG1543,NonEssential,NonEssential
MSMEG1544,MSMEG1544,NonEssential,NonEssential
MSMEG1545,MSMEG1545,NonEssential,NonEssential
MSMEG1546,MSMEG1546,NonEssential,NonEssential
MSMEG1547,MSMEG1547,NonEssential,NonEssential
MSMEG1548,MSMEG1548,NonEssential,NonEssential
MSMEG1549,MSMEG1549,Uncertain,NonEssential
MSMEG1550,MSMEG1550,NonEssential,NonEssential
MSMEG1551,MSMEG1551,NonEssential,NonEssential
MSMEG1552,eat,NonEssential,NonEssential
MSMEG1553,eutB,NonEssential,NonEssential
MSMEG1554,eutC,NonEssential,NonEssential
MSMEG1555,MSMEG1555,Uncertain,NonEssential
MSMEG1556,rplM,Essential,NonEssential
MSMEG1557,rpsI,Essential,NonEssential
MSMEG1558,MSMEG1558,NonEssential,NonEssential
MSMEG1559,glmM,Essential,NonEssential
MSMEG1561,MSMEG1561,NonEssential,NonEssential
MSMEG1562,MSMEG1562,Uncertain,NonEssential
MSMEG1563,MSMEG1563,NonEssential,NonEssential
MSMEG1564,MSMEG1564,NonEssential,NonEssential
MSMEG1565,MSMEG1565,NonEssential,NonEssential
MSMEG1566,MSMEG1566,NonEssential,NonEssential
MSMEG1567,MSMEG1567,NonEssential,NonEssential
MSMEG1568,glmS,Essential,Essential
MSMEG1569,MSMEG1569,NonEssential,NonEssential
MSMEG1570,MSMEG1570,NonEssential,NonEssential
MSMEG1571,MSMEG1571,NonEssential,NonEssential
MSMEG1572,MSMEG1572,NonEssential,NonEssential
MSMEG1573,MSMEG1573,NonEssential,NonEssential
MSMEG1574,MSMEG1574,NonEssential,NonEssential
MSMEG1575,alr,Essential,NonEssential
MSMEG1576,MSMEG1576,NonEssential,NonEssential
MSMEG1577,MSMEG1577,NonEssential,NonEssential
MSMEG1578,MSMEG1578,NonEssential,NonEssential
MSMEG1579,rimI,NonEssential,NonEssential
MSMEG1580,gcp,NonEssential,NonEssential
MSMEG1581,MSMEG1581,NonEssential,NonEssential
MSMEG1582,groES,Essential,NonEssential
MSMEG1583,groEL,NonEssential,NonEssential
MSMEG1584,MSMEG1584,NonEssential,NonEssential
MSMEG1585,MSMEG1585,NonEssential,NonEssential
MSMEG1586,MSMEG1586,NonEssential,NonEssential
MSMEG1587,MSMEG1587,NonEssential,NonEssential
MSMEG1588,MSMEG1588,NonEssential,NonEssential
MSMEG1589,MSMEG1589,NonEssential,NonEssential
MSMEG1590,MSMEG1590,NonEssential,NonEssential
MSMEG1592,MSMEG1592,NonEssential,NonEssential
MSMEG1593,MSMEG1593,NonEssential,NonEssential
MSMEG1594,MSMEG1594,NonEssential,NonEssential
MSMEG1595,MSMEG1595,NonEssential,NonEssential
MSMEG1596,MSMEG1596,NonEssential,NonEssential
MSMEG1597,MSMEG1597,NonEssential,NonEssential
MSMEG1598,MSMEG1598,NonEssential,NonEssential
MSMEG1599,MSMEG1599,NonEssential,NonEssential
MSMEG1600,MSMEG1600,NonEssential,NonEssential
MSMEG1601,MSMEG1601,NonEssential,NonEssential
MSMEG1602,guaB,Essential,Essential
MSMEG1603,MSMEG1603,NonEssential,NonEssential
MSMEG1604,MSMEG1604,NonEssential,NonEssential
MSMEG1605,phoU,NonEssential,NonEssential
MSMEG1606,MSMEG1606,NonEssential,NonEssential
MSMEG1607,MSMEG1607,NonEssential,NonEssential
MSMEG1608,MSMEG1608,NonEssential,NonEssential
MSMEG1609,MSMEG1609,Uncertain,NonEssential
MSMEG1610,guaA,Essential,Essential
MSMEG1611,MSMEG1611,NonEssential,NonEssential
MSMEG1612,MSMEG1612,NonEssential,NonEssential
MSMEG1613,MSMEG1613,NonEssential,NonEssential
MSMEG1614,MSMEG1614,NonEssential,NonEssential
MSMEG1615,ggt,NonEssential,NonEssential
MSMEG1616,MSMEG1616,Uncertain,NonEssential
MSMEG1617,MSMEG1617,NonEssential,NonEssential
MSMEG1618,MSMEG1618,NonEssential,NonEssential
MSMEG1619,MSMEG1619,NonEssential,NonEssential
MSMEG1620,MSMEG1620,NonEssential,NonEssential
MSMEG1621,MSMEG1621,NonEssential,NonEssential
MSMEG1622,MSMEG1622,NonEssential,NonEssential
MSMEG1623,MSMEG1623,NonEssential,NonEssential
MSMEG1624,MSMEG1624,NonEssential,NonEssential
MSMEG1625,MSMEG1625,NonEssential,NonEssential
MSMEG1626,MSMEG1626,NonEssential,NonEssential
MSMEG1627,MSMEG1627,Unknown,NonEssential
MSMEG1628,MSMEG1628,NonEssential,NonEssential
MSMEG1629,MSMEG1629,NonEssential,NonEssential
MSMEG1630,MSMEG1630,NonEssential,NonEssential
MSMEG1631,MSMEG1631,NonEssential,NonEssential
