locus_tag,name,tnseq_ess,crispr_ess
MSMEG0124,MSMEG0124,NonEssential,NonEssential
MSMEG0125,MSMEG0125,NonEssential,NonEssential
MSMEG0126,MSMEG0126,NonEssential,NonEssential
MSMEG0127,MSMEG0127,NonEssential,NonEssential
MSMEG0128,MSMEG0128,NonEssential,NonEssential
MSMEG0129,MSMEG0129,NonEssential,Essential
MSMEG0130,MSMEG0130,NonEssential,NonEssential
MSMEG0131,MSMEG0131,NonEssential,NonEssential
MSMEG0132,MSMEG0132,NonEssential,NonEssential
MSMEG0133,MSMEG0133,NonEssential,NonEssential
MSMEG0134,MSMEG0134,NonEssential,NonEssential
MSMEG0135,MSMEG0135,NonEssential,NonEssential
MSMEG0136,MSMEG0136,NonEssential,NonEssential
MSMEG0137,MSMEG0137,NonEssential,NonEssential
MSMEG0138,MSMEG0138,NonEssential,NonEssential
MSMEG0139,MSMEG0139,NonEssential,NonEssential
MSMEG0140,MSMEG0140,NonEssential,NonEssential
MSMEG0141,MSMEG0141,NonEssential,NonEssential
MSMEG0142,MSMEG0142,NonEssential,NonEssential
MSMEG0143,MSMEG0143,NonEssential,NonEssential
MSMEG0144,MSMEG0144,NonEssential,NonEssential
MSMEG0145,MSMEG0145,NonEssential,NonEssential
MSMEG0146,MSMEG0146,NonEssential,NonEssential
MSMEG0147,MSMEG0147,NonEssential,NonEssential
MSMEG0148,MSMEG0148,NonEssential,NonEssential
MSMEG0149,MSMEG0149,NonEssential,NonEssential
MSMEG0150,MSMEG0150,NonEssential,NonEssential
MSMEG0151,MSMEG0151,NonEssential,NonEssential
MSMEG0152,MSMEG0152,NonEssential,NonEssential
MSMEG0153,panE,NonEssential,NonEssential
MSMEG0154,pyk,NonEssential,NonEssential
MSMEG0155,MSMEG0155,NonEssential,NonEssential
MSMEG0156,MSMEG0156,NonEssential,NonEssential
MSMEG0157,MSMEG0157,NonEssential,NonEssential
MSMEG0158,MSMEG0158,NonEssential,NonEssential
MSMEG0159,MSMEG0159,NonEssential,NonEssential
MSMEG0160,MSMEG0160,NonEssential,NonEssential
MSMEG0161,MSMEG0161,NonEssential,NonEssential
MSMEG0162,MSMEG0162,NonEssential,NonEssential
MSMEG0163,MSMEG0163,NonEssential,NonEssential
MSMEG0164,MSMEG0164,NonEssential,NonEssential
MSMEG0165,fdhD,NonEssential,NonEssential
MSMEG0166,MSMEG0166,NonEssential,NonEssential
MSMEG0167,MSMEG0167,NonEssential,NonEssential
MSMEG0168,MSMEG0168,NonEssential,NonEssential
MSMEG0169,MSMEG0169,NonEssential,NonEssential
MSMEG0170,MSMEG0170,NonEssential,NonEssential
MSMEG0171,MSMEG0171,NonEssential,NonEssential
MSMEG0172,MSMEG0172,NonEssential,NonEssential
MSMEG0173,MSMEG0173,NonEssential,NonEssential
MSMEG0174,MSMEG0174,NonEssential,NonEssential
MSMEG0175,MSMEG0175,NonEssential,NonEssential
MSMEG0176,MSMEG0176,NonEssential,NonEssential
MSMEG0177,MSMEG0177,NonEssential,NonEssential
MSMEG0178,MSMEG0178,NonEssential,NonEssential
MSMEG0179,MSMEG0179,NonEssential,NonEssential
MSMEG0180,MSMEG0180,NonEssential,NonEssential
MSMEG0181,MSMEG0181,NonEssential,NonEssential
MSMEG0182,MSMEG0182,NonEssential,NonEssential
MSMEG0183,MSMEG0183,NonEssential,NonEssential
MSMEG0184,MSMEG0184,NonEssential,NonEssential
MSMEG0185,MSMEG0185,NonEssential,NonEssential
MSMEG0186,MSMEG0186,NonEssential,NonEssential
MSMEG0187,MSMEG0187,NonEssential,NonEssential
MSMEG0188,MSMEG0188,Unknown,NonEssential
MSMEG0189,anmK,NonEssential,NonEssential
MSMEG0190,MSMEG0190,NonEssential,NonEssential
MSMEG0191,MSMEG0191,NonEssential,NonEssential
MSMEG0192,MSMEG0192,NonEssential,NonEssential
MSMEG0193,murQ,NonEssential,NonEssential
MSMEG0194,MSMEG0194,NonEssential,NonEssential
MSMEG0195,MSMEG0195,NonEssential,NonEssential
MSMEG0196,MSMEG0196,NonEssential,NonEssential
MSMEG0197,MSMEG0197,NonEssential,NonEssential
MSMEG0198,MSMEG0198,NonEssential,NonEssential
MSMEG0199,MSMEG0199,Uncertain,NonEssential
MSMEG0200,MSMEG0200,NonEssential,NonEssential
MSMEG0201,MSMEG0201,NonEssential,NonEssential
MSMEG0204,MSMEG0204,NonEssential,NonEssential
MSMEG0205,MSMEG0205,NonEssential,NonEssential
MSMEG0206,MSMEG0206,NonEssential,NonEssential
MSMEG0207,MSMEG0207,NonEssential,NonEssential
MSMEG0208,MSMEG0208,NonEssential,NonEssential
MSMEG0209,MSMEG0209,NonEssential,NonEssential
MSMEG0210,MSMEG0210,NonEssential,NonEssential
MSMEG0211,MSMEG0211,NonEssential,NonEssential
MSMEG0212,MSMEG0212,NonEssential,NonEssential
MSMEG0213,MSMEG0213,NonEssential,NonEssential
MSMEG0214,MSMEG0214,NonEssential,NonEssential
MSMEG0215,MSMEG0215,NonEssential,NonEssential
MSMEG0216,MSMEG0216,NonEssential,NonEssential
MSMEG0217,MSMEG0217,NonEssential,NonEssential
MSMEG0218,MSMEG0218,NonEssential,NonEssential
MSMEG0219,MSMEG0219,NonEssential,NonEssential
MSMEG0220,MSMEG0220,NonEssential,NonEssential
MSMEG0221,MSMEG0221,NonEssential,NonEssential
MSMEG0222,MSMEG0222,NonEssential,NonEssential
MSMEG0223,MSMEG0223,NonEssential,NonEssential
MSMEG0224,MSMEG0224,NonEssential,NonEssential
MSMEG0225,MSMEG0225,NonEssential,NonEssential
MSMEG0226,MSMEG0226,NonEssential,NonEssential
MSMEG0227,MSMEG0227,NonEssential,NonEssential
MSMEG0228,MSMEG0228,NonEssential,NonEssential
MSMEG0229,ilvD,NonEssential,NonEssential
MSMEG0230,MSMEG0230,NonEssential,NonEssential
MSMEG0231,MSMEG0231,NonEssential,NonEssential
MSMEG0232,MSMEG0232,NonEssential,NonEssential
MSMEG0233,MSMEG0233,NonEssential,NonEssential
MSMEG0234,MSMEG0234,NonEssential,NonEssential
MSMEG0235,MSMEG0235,NonEssential,NonEssential
MSMEG0236,MSMEG0236,NonEssential,NonEssential
MSMEG0238,MSMEG0238,NonEssential,NonEssential
MSMEG0239,MSMEG0239,NonEssential,NonEssential
MSMEG0240,MSMEG0240,NonEssential,NonEssential
MSMEG0241,MSMEG0241,NonEssential,NonEssential
MSMEG0242,MSMEG0242,NonEssential,NonEssential
MSMEG0243,MSMEG0243,NonEssential,NonEssential
MSMEG0244,MSMEG0244,NonEssential,NonEssential
MSMEG0245,MSMEG0245,NonEssential,NonEssential
MSMEG0246,MSMEG0246,NonEssential,NonEssential
MSMEG0247,MSMEG0247,NonEssential,NonEssential
MSMEG0248,MSMEG0248,NonEssential,NonEssential
MSMEG0249,MSMEG0249,NonEssential,NonEssential
